Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"029-888888101","478","029","Department of Veterans Affairs","InterAgency 21st Century Core","yes","H.R. 4986   National Defense Authorization Act for FY 2008, Section 1635 Requires DOD and VA jointly to develop and implement a system of electronic health records that allows for full interoperability of personal health care information between the two departments. Establishes an interagency program office to act as a single point of accountability for the departments.38 USC   8111   SECVA and SECDEF shall enter into agreements and contracts for the mutually beneficial coordination, use, or exchange of use of the health care resources of the Department of VA and the DoD with the goal of improving the access to, and quality and cost effectiveness of, the health care provided by the Veterans Health Administration and the Military Health System to the beneficiaries of both Departments.10 USC   1104 - Health-care resources of the DoD shall be shared with health-care resources of VA in accordance with section 8111 of title 38 or under section 1535 of title 31.","no","","yes","DoD/VA Joint Executive Council (JEC) oversses VA and DoD interagency collaboration to enhance joint health and benefits activities of the Departments. The JEC publishes an annual report to congress at the end of each fiscal year, which includes the joint strategic plan for the 3 fiscal years following the year of publication. The link provided includes links the the JEC Annual Reports the years 2009, 2010, 2011, and 2012.","P40-029-071","no","","no","Supports VA and DoD joint health IT initiative, the iEHR will support exchange of health care data for veteran and military personnel.","09/12/2012","12:36:36"
"029-888888104","479","029","Department of Veterans Affairs","InterAgency 21st Century Enrollment Systems Redesign","yes","On May 5th, 2010, Public Law (PL) 111-163 was signed by the President to provide assistance to caregivers of the United States Veterans while improving the provisions of health care services to all Veterans. The Enrollment System (ES) used by the Department of Veterans Affairs will be redesigned to accommodate for the change in system requirements for enhancements to the VistA Fee Basis application in support of Public Law 111-163, the Caregiver and Veterans Omnibus Health Services Act of 2011. Also in support of Public Law 111-163, ES will be enhanced to provide exemptions from all copayment obligations for Catastrophically Disabled Veterans as well as providing enhanced priority group determination for Medal of Honor recipients.To support the requirements of Public Law 111-148 (The Patient Protection and Affordable Care Act), the Enrollment System will be updated to modify Veteran Eligibility business rules in compliance with the act.","no","","yes","The Enrollment Systems Redesign Investment supports Integrated Objective 1 of the VA Strategic Plan (Make it easier for Veterans and their families to receive the right benefits, meeting their expectations for quality, timeliness, and responsiveness.) The Enrollment System will provide the capability to exchange registration, enrollment, and eligibility data for lines of business such as Pharmacy.","P40-029-071","no","","no","","09/12/2012","12:36:46"
"029-888888103","480","029","Department of Veterans Affairs","InterAgency 21st Century PIV","yes","The Homeland Security Presidential Directive 12 was issued in August 2004, during President George W. Bush s administration. It establishes a Policy for a Common Identification Standard for Federal Employees and Contractors to address the problem of wide variations in the quality and security of identification used to gain access to secure facilities where there is potential for terrorist attacks. In order to eliminate these variations, this policy aims to enhance security, increase Government efficiency, reduce identity fraud, and protect personal privacy by establishing a mandatory, Government-wide standard for secure and reliable forms of identification issued by the Federal Government to its employees and contractors. This directive mandates a federal standard for secure and reliable forms of identification.","yes","Veterans Affairs Office of Inspector General Audit of HSPD-12 Program. The Veterans Affairs Department Office of the Inspector General reported on September 30, 2010 that the VA is nearly two years behind schedule in implementing secure credentials for employees and contractors.  At that time the VA had only issued approximately 9 percent of the necessary credentials to its workforce, including contractors, under Homeland Security Presidential Directive-12 HSPD-12). In comparison, federal agencies overall issued about 59 percent of their HSPD-12 credentials by the deadline.","yes","The Interagency 21st PIV investment is aligned with two of the four of the strategic goals that are outlined in the 2011   2015 VA Strategic Plan. Specifically goals  (3) Raise readiness to provide services and protect people and assets continuously and in time of crisis; and (4) Improve internal customer satisfaction with management systems and support services to achieve mission performance and make VA and employer of choice by investing in human capital. Interagency PIV supports these goals by establishing a an enterprise standards-based smart card and Public Key Infrastructure (PKI) authentication and authorization foundation to support secure and seamless transmission of business transactions and information.","P40-029-097","no","","yes","OMB Memorandum M-05-24 - Implementation of Homeland Security Presidential Directive 12.  http://www.whitehouse.gov/sites/default/files/omb/memoranda/fy2005/m05-24.pdf.  HSPD-12 Implementation Status Reports - The Office of Management and Budget was directed to oversee agency implementation. Agencies must ensure consistency with existing privacy and security law and policies to ensure employee and contractor information is protected and appropriately used. http://www.whitehouse.gov/omb/e-gov/hspd12_reports.","09/12/2012","12:36:58"
"029-888888102","481","029","Department of Veterans Affairs","InterAgency 21st Century Veterans Interoperability","yes","PL 111-5- American Recovery and Reinvestment Act of 2009: Signed into law by President Obama on February 17, 2009, the Act is an unprecedented effort to jumpstart our economy, create or save millions of jobs, and put a down payment on addressing long-neglected challenges so our country can thrive in the 21st century. The Act includes measures to modernize our nation's infrastructure, enhance energy independence, expand educational opportunities, preserve and improve affordable health care, provide tax relief, and protect those in greatest need. Additionally, it provides funding for IT infrastructure and claims processing improvements for Veterans Benefits Administration (VBA).","no","","yes","The Interagency 21st Veterans Interoperability investment is aligned with four of the strategic goals that are outlined in the 2011-2015 VA Strategic Plan. The strategic goals are (1) Improve the quality  and accessibility  of healthcare, benefits, and memorial services while optimizing value; (2) Increase Veteran client satisfaction with health, education, training, counseling, financial, and burial benefits and services; (3) Raise readiness to provide services and protect people and assets continuously and in time of crisis; and (4) Improve internal customer satisfaction with management systems and support services to achieve mission performance and make VA and employer of choice by investing in human capital. Veterans Interoperability supports these goals by providing the information technology platform for sharing Veterans health and benefits data.","P40-029-071","yes","(1) Executive Order 13335 - Incentives for the Use of Health Information Technology and Establishing the Position of the National Health Information Technology (2) Executive Order 13410- Promoting Quality and Efficient Health Care in Federal Government Administered or Sponsored Health Care Programs(3) Virtual Lifetime Electronic Record. The White House - Press Office - Remarks by the President on Improving Veterans' Health Care, 4/9/2009.","no","Virtual Lifetime Electronic Record The White House - Press Office - Remarks by the President on Improving Veterans' Health Care, 4/9/2009 http://m.whitehouse.gov/the_press_office/Remarks-by-the-President-on-Improving-Veterans-Health-Care-4/9/2009/                          NwHIN:     PL 111-5- American Recovery and Reinvestment Act of 2009, http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgidbname=111_cong_bills&docid=f:h1enr.pdf                              CHDR:     CMS Legislative Summary April 2004 Summary of H.R. 1 Medicare Prescription Drug, Improvement, and Modernization Act of 2003, Public Law 108-173, https://www.cms.gov/MMAUpdate/downloads/PL108-173summary.pdf;                       National Defense Authorization Act (NDAA) Congressional Mandate June 2002.","09/12/2012","12:37:31"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion (BCE)","no","","no","","yes","This project aligns with the Veterans Affairs (VA) strategic goal,  Improve the quality and accessibility of health care, benefits, and memorial services while optimizing value.","P40-029-071","no","","yes","VHA Directive 2009-035 issued July 2009 requires all facilities have in place a mechanism to track and trend the number of mislabeled specimens arriving in laboratory.","09/16/2011","10:51:15"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","yes","Policy and Procedural Directive-Type Memorandum (DTM) for the Disability Evaluation System (DES) Pilot Program. CAPRI will provide this pilot program the technical mechanism for retrieving veteran patient data from VA health care data bases.","yes","GAO-07-310, updated January 2007. CAPRI will facilitate technical implementation and completion of Disability Evaluation Questionnaires and Template, which will help expedite the claim request and evaluation process to reduce the backlog of pending claims.","yes","VA Strategic Plan Refresh FY 2011-2015. CAPRI will facilitate technical implementation and completion of Disability Evaluation Questionnaires and Template, which will help expedite the claim request and evaluation process to reduce the backlog of pending claims.","P40-029-071","no","","yes","FL08-001,  Joint VA-Department of Defense (DoD) (DES) Pilot Program. CAPRI will provide this pilot program the technical mechanism for retrieving veteran patient data from VA health care data bases.","09/16/2011","10:52:10"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","no","","no","Audit of the Veterans Health Administration's Outpatient Waiting Times, Report No. 07-00616-199, September 10, 2007 ( http://www.va.gov/oig/52/reports/2007/VAOIG-07-00616-199.pdf) These audits identify concerns with the quality of surgical care provided patients and deficiencies related to medical center leadership and the Surgery Service, including quality management (QM) processes, such as peer reviews and credentialing and privileging of physicians. The GAO report of VHA wait times (1998) mandated that VA (improve patient access to care. The Scheduling application is used for appointment management.(http://www.gao.gov/new.items/d01953.pdf). The MC investment addresses recommendations and remediates issues discovered in the audits.","yes","Strategic Plan   Department of Veterans Affairs Strategic Plan FY 2011-2015. MC includes  projects aligned with the following Major Initiatives: Improve Veteran Mental Health ; New Models of Care ; Enhancing the Veteran Experience and Access to Healthcare (EVEAH); and Transform Health Care Delivery Through Health Informatics.","P40-029-071","no","","no","","09/16/2011","10:53:17"
"029-555555222","485","029","Department of Veterans Affairs","Medical 21st Century Laboratory","no","","yes","Joint Commission accredits and certifies medical centers and requires that the name and address of the laboratory where the test is performed and a final result is generated must appear on the report. When a pathologist travels to multiple locations or reference laboratory computers are interfaced, this requirement may be overlooked. This investment brings Lab into compliance for this issue.","yes","Medical 21st Century Laboratory supports the VA Strategic Goal: improve the quality and accessibility of health care, benefits and memorial services while optimizing value. Medical 21st Century Laboratory supports this goal by implementing: a standard order catalog (standardized terminology); a fully automated Microbiology workflow (integration with workflow); capability to send and receive Lab results to other health care providers (interoperability with other Federal and non-Federal health care providers); use of barcode scanners, barcode printers, and labeling specimens at the collection sites improving efficiency and patient safety (leveraging health informatics to decrease medical errors) and streamlined business processes that will decrease turnaround times (improve staff efficiencies and productivity).","P40-029-071","no","","yes","1) Supports Executive Order (EO13410)/ Directive Transparency of Quality Measurements by implementing metrics such as lab productivity and turnaround time for critical tests. Cerner solution aggregates data at the enterprise level in support of quality measurement.  2) Provides ability to meet the Cancer Reporting Protocols required by the American College of Surgeon Commission as published in 2004. 2) Supports VA and DoD joint health IT initiative, the iEHR will support exchange of health care data for veteran and military personnel.","09/16/2011","10:54:34"
"029-555555242","486","029","Department of Veterans Affairs","Medical 21st Century MyHealtheVet","no","None.","no","None.","yes","MHV is a key in-place operational mechanism for delivering improved tools for Veterans mental health, supporting the new Veteran-centric models of care and assuring a world-class VA/DOD partnership to assure seamless transition in becoming a Veteran.  MHV inspires additional collaboration in innovative public-private partnerships.  The Blue Button Prize Competition sponsored by the VA Innovation Initiative (VAi2) offers incentive for private sector Personal Health Record (PHR) adoption.  MHV also is a key component of the eHealth Information Technology OMB.","D40-029-071","no","","yes","Executive Office of the President Memorandum: Delivering to the American People, Federal Health Information Technology OMB, Promote Open Government Policy Principle - 2 - share information with client/patient, the Presidents New Freedom Commissionable:  Mental Health Report re:  Mental healthcare needs to be more consumer and family friendly, especially for those coming back from war, My HealtheVet and meaningful use:  Providers need to show that they are using certified electronic health record technology in ways that can be measured in quality and quantity, the American's Recovery and Reinvestment Act of 2009 - describes meaningful use.","09/16/2011","10:55:36"
"029-555555184","487","029","Department of Veterans Affairs","Medical 21st Century Pharmacy (PRE)","no","N/A.","yes","The GAO report outlined a need for PRE project management plan and PRE milestone reviews plan and IG Report outlining PRE development approach with need to follow PMAS as a remedy.","yes","iEHR efforts support Strategic Goal #1 (Quality and Accessibility) and Strategic Goal #2 (Veteran Client  Satisfaction) as well as Priority #3 (Expanding Access to Benefits and Services).VA Strategic Plan.","P40-029-071","no","","yes","The pending VA IT Strategic Plan is anticipated to include alignment for PRE as a technical solution. The need for Inventory Re-engineering efforts that will be accomplished via PRE in the later Re-engineering stages, or by Integrated Electronic Health Record (iEHR) is also addressed in the OIG Sub-Challenge #1D: Accountability of Pharmaceuticals in VHA Medical Facilities and Consolidated Mail Outpatient Pharmacies (CMOPs) found in the 2011 VA Performance and Accountability Report (Published November 15, 2011).","09/16/2011","10:56:27"
"029-555555109","488","029","Department of Veterans Affairs","Medical 21st Century Registries","yes","Public Law 110-181 () requires that data collected on service members sustaining significant eye injuries be shared bi-directionally between DoD and VA to ensure the coordination of the provision of ongoing eye care and visual rehabilitation benefits and services by the VA. Public Law 110-181 section 1704 requires a Traumatic Brain Injury Registry for research, education, and clinical care program and specifically calls for a TBI Registry . Public Law 111-87 (section 12 establishes reporting requirements for national HIV/AIDS testing reporting which is supported by the Clinical Case Registries.","no","N/A.","yes","VHA Directive 2003-034 requires that all medical centers diagnosing and/or treating patients with cancer must have a cancer registry and must report their data to the VA Central Cancer Registry. VHA Directive 2006-011 Clinical Case Registries Software requires installation, maintenance and support of the national Clinical Case Registries.","P40-029-071","yes","Presidential Memorandum: Implementation of the National HIV/AIDS strategy (July 13, 2010) requires reporting of HIV/AIDS cases which is supported by the Clinical Case Registries.","yes","The Presidential Task Force on Returning Global War on Terror Heroes has stated in the Global War On Terror (GWOT) report that the Department Veterans Affairs (VA) shall create an Embedded Fragment Surveillance Center and Registry (recommendation P-7) and the Traumatic Brain Injury Registry (Recommendation P-3).","09/12/2012","12:39:35"
"029-555555114","491","029","Department of Veterans Affairs","Medical IT Support","no","","no","","no","","","no","","no","","09/16/2011","11:00:02"
"029-555555113","492","029","Department of Veterans Affairs","Medical Legacy","yes","ICD-10 Conversion: On 1/16/2009 the Department of Health and Human Services (HHS), Centers for Medicare &amp; Medicaid Services (CMS), issued a Final Rule requiring the replacement of the International Classification of Diseases replacement of ICD-9-CM procedure codes with ICD-10 Procedure Coding System (ICD-10-PCS) code set. These requirements affect all health plans, health care clearinghouses and health care providers who transmit any health information in electronic form in connection with a transaction for which the Secretary of HHS has adopted a standard. With a 10/1/2013 compliance date, the code sets currently used by VA personnel to report health care diagnoses and inpatient procedures will be greatly expanded to include new and emerging medical technologies. Electronic Data Interchange (EDI) Transactions   Mandated Compliance addresses all work mandated by federal regulations that involve the transfer of data between health care trading partners using EDI.","no","(NUMI) OIG Report, Evaluation of Quality Management in Veterans Health Administration Facilities, Fiscal Year 2007  10Q Responses Project No.: 2007-00060-HI-0012.","yes","Strategic Plan: Department of Veterans Affairs Strategic Plan FY 2011-2015. ML includes projects aligned with the Secretary's Major Initiatives as well as Health Provider and Health Administrative projects. All are included in this Strategic Plan.","P40-029-071","no","","yes","(VPS Kiosks) VPS Concept of Operations v0.5.0_20081112.doc; Executive Decision Memorandum (EDM) Use of Point of Service Software in VHA.pdf;VHA Eight for Excellence and Mission Statement (VistA Imaging Storage Infrastructure); VHA Directive 2011-005, Radiology Picture Archiving and Communication systems (PACS), dated February 8, 2011.","03/25/2013","15:09:01"
"029-777777137","1169","029","Department of Veterans Affairs","Enterprise Telephony Strategy","no","","no","","no","","","no","","no","","09/12/2012","13:02:56"
"184-000000008","10","184","U.S. Agency for International Development","GLAAS - Global Assistance and Acquisition System","no","","no","","yes","Two major segments of the Agency's USAID Forward Reform Agenda (http://inside.usaid.gov/USAIDforward/) center on (a) Implementation & Procurement and (b) Rebuilding Budget Management.The GLAAS Investment supports these reform goals by providing an enterprise web-based system that streamlines and standardizes USAID's Acquisition and Assistance (A&A) business processes.  This results in improved compliance, accountability and transparency of A&A actions.  The system also provides real-time integration with USAID's financial system (Phoenix) and other United States Government systems, such as FPDS-NG, FAADS, and Grants.gov. Through this integration, GLAAS improves competition of contracts and grants, disclosure, and accessibility of the Agency's spending of public funds and provides for real-time accountability.In sum, the GLAAS system provides faster and more comprehensive and accurate data required to support USAID Forward's individual reform objectives.","404-136-001","no","","no","","09/16/2011","10:14:09"
"184-000000028","11","184","U.S. Agency for International Development","IT Transition","no","","no","","no","","","no","","no","","09/16/2011","10:14:10"
"184-000000005","12","184","U.S. Agency for International Development","Phoenix - Financial Management System","yes","The Federal Financial Management Improvement Act (FFMIA) requires each agency to implement and maintain systems that comply substantially with Federal financial management system requirements.  OMB Circular A-127 prescribes specific policies and requirements, such as requiring federal agencies to use a commercial off-the-shelf (COTS) financial system that was certified by the Financial Systems Integration Office (FSIO) as meeting the core financial system requirements.  Phoenix is an implementation of Momentum Financial, which meets this requirement.  Phoenix also complies with related legislation, including the Federal Information Security Management Act of 2002, and OMB Circular A-127.","yes","The single Material Weakness that USAID has received on several past financial statements has been, USAID Does Not Reconcile Its Fund Balance with Treasury Account with the U.S. Treasury and Resolve Reconciling Items in a Timely Manner.  USAID's Office of the Inspector General has recommended that USAID's OCFO intensify its efforts to reconcile monthly transactions with Treasury and identify, track, and resolve legacy differences recorded in the suspense accounts and in other appropriation accounts.  The Phoenix system is central to several changes USAID is making to address this problem, including the recent deployment of an online version of its Cash Reconciliation Tool, called eCART, which uses data from a Phoenix interface.","yes","An accounting system is critical to USAID's operations and is therefore indirectly necessary to achieve the USAID and Department of State joint goals.  Phoenix aligns with the Foreign Assistance Standardized Program Structure, and inter-agency framework that aligns with the goals outlined in the Joint Strategic plan, which is used to aggregate foreign assistance budget requests and reporting.  The Phoenix program has incorporated this Standardized Program Structure and tracks with any updates to it, so that USAID staff can tie budget and expenditure to this framework.","404-136-002","yes","This investment supports the Presidential Memorandum on Transparency and Open Government, and the resulting Open Government Directive and subsequent guidance from OMB.The Phoenix financial system and reports are essential to provide accurate, informed financial information to the public.  This investment developed the Where Does USAID Money Go report published on http://www.usaid.gov/open, and is essential in generating financial data for several of the other reports published on that page.  This investment team has provided essential data and support to the Foreign Assistance Dashboard, www.foreignassistance.gov, a Flagship Initiative described in USAID's 2012 Open Government Plan, and was also the source for the USAID Dollars Obligated and Dollars Spent dataset on data.gov - https://explore.data.gov/Foreign-Commerce-and-Aid/USAID-Dollars-Obligated-and-Dollars-Spent/cy2i-w7ni.","yes","OMB directed USAID and the Department of State to work jointly in implementing financial systems; after reviewing alternatives, USAID and Department of State decided to consolidate their financial systems operations, and have implemented systems run from a joint platform at the Department of State's facilities in Charleston, South Carolina.","09/13/2012","17:41:46"
"184-000000016","392","184","U.S. Agency for International Development","Steady State IT Infrastructure & Technology Modernization Program","no","","no","","yes","This investment will fund IT operations, and projects that will support the objectives, initiatives, and performance indicators defined for Goal 3 in the USAID IT Strategic Plan, Effective and Efficient IT Services.","404-139-001","no","","no","","09/16/2011","10:14:13"
"202-000001051","735","202","U.S. Army Corps of Engineers","Corps Water Management System (CWMS)","yes","The CWMS AIS is used by Corps decision makers to carry out the Corps Water Control Mission which assures project safety and carries out the regulation of congressional authorized purposes as outlined in legislative authorization acts referenced in project documents (Reference ER 1110-2-240, ER 1110-2-241, ER 1110-2-249).","no","","yes","GOAL 2 - Objective 2a: Deliver integrated, sustainable, water resources solutions:  CWMS utilizes the Corps' Corporate database, i.e., Oracle, which facilitates the efficient storage and sharing of data. Data stored in the corporate database can be accessed using COTS web enabled software providing near real-time data to the public.GOAL 3 - Objective 3c: Deliver reliable infrastructure using a risk-informed asset management strategy:  The Corps Water Management Mission directly impacts the decisions made by Corps water managers when operating the nation's locks and dams in real time to protect life and property.GOAL 4 - Objective 4c: Standardize business processes:  CWMS provides a corporate Water Management tool for use by all water managers throughout the organization thereby maximizing the ability of water managers to exchange and enhance their abilities to exchange knowledge throughout the organization.","P41-202-073,P42-202-073,P41-202-074","no","","no","","09/15/2011","11:01:49"
"202-000001010","750","202","U.S. Army Corps of Engineers","Corps of Engineers Financial Management System (CEFMS)","yes","To provide more timely and reliable financial information and improve financial processes IAW: -Section 902a.3 of the Chief Financial Officers Act requires an agency to develop and maintain an integrated agency accounting and financial management system, including financial reporting and internal controls. -Federal Financial Management Improvement Act of 1996 (FFMIA).","yes","IAW the CFO Act of 1990 CEFMS provides timely, reliable and comprehensive financial information required to produce audited financial statements. This supports the requirements for transparency, accountability in reporting, and improved decision making.","no","","","yes","-OMB Circular A-123, Management's Responsibilities for Internal Controls-OMB Circular A-127, Policies and Standards for Financial Management Systems-OMB Circular A-134 Financial Accounting Principles and Standards.","yes","American Recovery and Reinvestment Act.","09/11/2012","15:13:32"
"202-000001017","761","202","U.S. Army Corps of Engineers","Enterprise Data Warehouse (EDW)","no","","no","","yes","The Enterprise Data Warehouse aligns with the USACE Campaign Plan and primarily supports: Goal 4: Build and cultivate a competent, disciplined, and resilient team equipped to deliver high quality solutions. Objective 4a: Identify, develop, maintain and strengthen technical competencies. Objective 4b: Communicate strategically and transparently. Objective 4c: Standardize business processes. Objective 4d: Establish tools and systems to get the right people in the right jobs, then develop and retain this highly skilled workforce.","P41-202-077","no","","no","","09/15/2011","15:12:00"
"202-000001032","762","202","U.S. Army Corps of Engineers","Resident Management System (RMS)","no","","no","","yes","USACE has a published Campaign Plan that supports the Army and DOD Agency Campaign Plan. RMS is in direct support of Goal 1, Goal 3, and Goal 4, and indirectly supports Goal 2.","P41-202-073,P41-202-075,P41-202-077","no","","yes","The use of RMS is mandated by HQUSACE policy memo and is institutionalized in various OPORDs and ERs/ECBs and other procedural instructions from HQUSACE. Various laws related to contracting require USACE to perform effective administration of awarded contracts, and RMS is essential to the effective administration of awarded construction contracts across USACE.","09/15/2011","16:12:10"
"202-000001020","763","202","U.S. Army Corps of Engineers","Emergency Response Program (ENGLink)","no","","no","","no","","","no","","yes","USACE is mandated under the National Response Framework (NRF) to coordinate Public Works and Engineering functions under Emergency Support Function (ESF) #3 as detailed in National Response Framework (2008) (http://www.fema.gov/pdf/emergency/nrf/nrf-core.pdf, page 58). Under this mandate, USACE is responsible during times of disaster to coordinate infrastructure protection and emergency repair, infrastructure restoration, engineering services and construction management, and emergency contracting support for life-saving and life-sustaining services. ENGLink ensures that USACE is ready to fulfill this mandate at any time through its practical implementation of support for USACE's existing arrangements with FEMA to provide a ready mission capability to deliver water, ice, emergency power, temporary roofing, and debris removal on demand when a national declaration of disaster is made by the President.","09/15/2011","11:57:30"
"202-000001033","765","202","U.S. Army Corps of Engineers","Program and Project Management System (PROMIS Phase 2) (P2)","yes","PMBP/P2 are in direct compliance with the President's Management Agenda (PMA) and the Government Performance Results Act (GPRA): Manage all work in the Corps in a similar fashion (GPRA, PMA) Link mission and strategic goals/objectives to projects (GPRA) Link budget to performance (GPRA, PMA) Link individual performance to goals/objectives (PMA) Manage project delivery, delivering service to customers in a more timely, efficient and effective manner (PMA) Adhere to congressional and upward reporting requirements (PMA).","yes","The Government Performance Reform Act of 1993 (GPRA) requires USACE to ...provide for the establishment of strategic planning and performance measurement... P2 also allows USACE to comply with the Project Management Business Process (PMBP) and Engineer Regulation, ER5-1-11. P2 is essential for statutory compliance because it enables users to manage all work in a similar fashion, link mission and strategic goals to projects, and link budget to performance.","yes","P2 supports all four of the Chief's Campaign Plan objectives. The system is used by all FOAs to deliver enduring water resource solutions & Military infrastructure. It is the Corps' primary enterprise tool that supports our standard business process doctrine, ER5-1-11 & the PMBP. Specifically, P2 supports the following campaign objectives: 1a. USACE is ready, responsive, and reliable in delivering high performance, all-hazard contingency mission execution in a world-wide theater of operations 2a. Deliver integrated, sustainable, water resources solutions 3a. Deliver sustainable infrastructure via consistent and effective military construction and real estate support to customers 4c. Standardize business processes 4d. Establish tools and systems to get the right people in the right jobs, then develop and retain this highly skilled work force.","","no","","no","","09/14/2012","17:03:17"
"202-000001031","766","202","U.S. Army Corps of Engineers","Operations and Maintenance Business Info Link PLUS (OMBIL)","yes","Section 234 of the Flood Control Act of 1970 (Pub. L. 91-611; 84 Stat. l8l8). 5 U.S.C. 5901-5903; Engineer Regulations 1130-2-442, 670-2-2, and 670-2-3; E.O. 9397 (SSN). 16 U.S.C. 460d; 31 U.S.C. 483a; 42 U.S.C. 4321, 4331-4335, 4341-4347; 33 U.S.C. 1251 et seq; E.O. 11752. Harbor Act of March 3, 1899 (sections 9, 10, and 14); Federal Water Pollution Control Act Amendments of 1972 (section 404); Marine Protection, Research and Sanctuaries Act of 1972 (section 103); 33 U.S.C. 652 1899 (33 U.S.C. 401, et seq.); Section 10 (33 U.S.C. 403). Army Regulation 385-40 Accident and Reporting USACE Engineer Regulation 190-1-50 Law Enforcement Policy.","no","","yes","OMBIL Plus aligns with USACE Campaign Plan Goals to deliver integrated, sustainable, water resources solutions; to communicate strategically and transparently; and to improve resilience and lifecycle investment in critical infrastructure. OMBIL Plus supports the USACE Mission Essential Task List (METL) to identify, facilitate and implement solutions for water resources challenges and to secure, operate and maintain civil works water resource projects.","P41-202-073","no","","no","","09/12/2012","16:42:53"
"202-000001060","768","202","U.S. Army Corps of Engineers","Real Estate Management Information System (REMIS)","yes","1. CFO Act of 1990.","yes","1. GAO Audit, Report No. GAO-08-349, May 9, 2008, Federal Real Property: Corps of Engineers Needs to Improve the Reliability of its Real Property Disposal Data. 2. DoD Inspector General Audit, Report No. D-2008-077, April 8. 2008, US Army Corps of Engineers Financial Management System.","yes","1. 6th Objective (Asset Management) of the Presidents Management Agenda 2. Department of the Army, General Order 3 3. USACE Asset Management Plan, September 2008.","","yes","1. Executive Order 13327 (Presidential Direction)1. Federal Real Property Council's Guidance for Real Property Inventory Reporting (Other Requirement)Note: The Presidential Direction and Other Requirement lines overwrite each other!","yes","1. Executive Order 13327 (Presidential Direction)1. Federal Real Property Council's Guidance for Real Property Inventory Reporting (Other Requirement)Note: The Presidential Direction and Other Requirement lines overwrite each other!","09/14/2011","18:57:30"
"202-000001012","823","202","U.S. Army Corps of Engineers","Facilities and Equipment Maintenance System (FEM)","no","","no","","yes","USACE Campaign Plan GOAL 3 - Objective 3c: Deliver reliable infrastructure using a risk-informed asset management strategy. FEM is specifically identified as an implementing strategy of Objective 3.c. (Strategy 2). GOAL 3 - Objective 3b: Improve resilience and life cycle investment in critical infrastructure. GOAL 4 - Objective 4c: Standardize business processes.","P41-202-076,P41-202-074,P42-202-073,P41-202-073","no","","yes","The U.S. Army Corps of Engineers Asset Management Plan identifies FEM as the eventual source for the Annual Operating Cost (AOC) of real property assets, reported annually to OMB (required by E.O.13327). FEM automates the requirements for a Maintenance Control System as identified in E.R. 1130-2-500 5-2.f and automates periodic maintenance management as required by E.R. 750-1-1. The use of FEM to manage and track maintenance on all US ACE-owned and maintained, or applicable leased and maintained, real and personal property is mandatory for all Civil Works operating projects and all facilities managed by ULA.","09/16/2011","08:52:53"
"202-000002017","826","202","U.S. Army Corps of Engineers","Information Assurance (IA) Program","yes","Federal Information Security Management Act of 2002, Freedom of Information Act, Privacy Act, Computer Security Act, Clinger-Cohen Act.","no","","yes","Met Cyber security standards to minimize the number of attacks against USACE essential network and application systems.Aligns with Agency goals of improving, protecting and life cycle investment of critical infrastructure and delivering reliable infrastructure and developing and applying innovative approaches to delivering quality infrastructure.  Another goal is standardization of business processes.  The IA program is in alignment with all of the USACE's Mission Essential Tasks (METLs) as well.","P42-202-073","yes","Cybersecurity Cross-Agency Priority (CAP) Goal Implementation Plan, HSPD-12 Policy for a Common Identification Standard for Federal Employees and Contractors.","yes","JTF-GNO Communication Tasking Order 07-12 - Deployment of Host Based Security Systems ALARACTs - Data-at-Rest 147/2007,152/2007, 134/2008 - Army Encryption of Data at Rest Protection Strategies.","09/13/2012","15:03:48"
"202-000004025","1257","202","U.S. Army Corps of Engineers","Automation Program","no","","no","","no","","","yes","FDCCI falls under the Automation Program and is currently reported through Army's ADCCP.","no","","09/14/2012","22:00:09"
"202-000004416","1259","202","U.S. Army Corps of Engineers","Communications Program","yes","Includes Public Law 109-163, Sec. 221 (IPv6).","no","","no","","","yes","Includes Executive Order Executive Order -- Assignment of National Security and Emergency Preparedness Communications Functions.","yes","Army Regulation (AR) 25-1, Army Knowledge Management and Information Technology, 4 December 2008.","09/14/2012","23:56:04"
"393-000000031","789","393","National Archives and Records Administration","Archives and Records Center Information System (ARCIS)","no","","no","","yes","Preserving the Past to Protect the Future, The Strategic Plan of the National Archives and Records Administration, 2006-2016 (revised 2009) - Strategic Goal 1: As the nation's record keeper, we will ensure the continuity and effective operation of Federal programs by expanding our leadership and services in managing the Government's records.","393-000-000","no","","yes","Archives and Records Centers Information System Background.","09/16/2011","18:00:17"
