Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rebaseline Date,Rebaseline Option,Comment,Project ID,Area of Change,Total Planned Cost of all Activities,Lifecycle Costs (SoF),Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2820","Projects, Activities","2.258466","","2009-2017","","","10/31/2011","15:44:09","7008"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2844,2332","Projects, Activities","4.528566","","2009-2017","","","11/04/2011","15:27:01","7049"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","","4.528566","","2009-2017","","","11/08/2011","17:33:09","7068"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2333,2334","Projects, Activities","4.358566","","2009-2017","","","11/08/2011","17:36:29","7077"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2820,2332","Projects, Activities","4.358566","","2009-2017","","","01/19/2012","16:58:51","7287"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","02/13/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Updated project and activity details for VETSNET Release Management - VR 13.","2332","Projects, Activities","12.228353","","2009-2017","","","03/19/2012","11:42:11","7739"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","04/09/2012","Correction","Adding new iterations for VETSNET Release Management - VR 13.","2332","Projects, Activities","12.228353","","2009-2017","","","04/17/2012","14:53:33","8009"
"029-666666264","471","029","Department of Veterans Affairs","Benefits Legacy VETSNET","05/08/2012","Correction","Updated project and activity details for VETSNET Release Management - VR13 and VETSNET Release Management -VR14.","2820,2332,2844","Projects, Activities","12.228353","","2009-2017","","","05/21/2012","17:08:45","8213"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","02/22/2011","Rebaseline - change in scope","Change in scope","","","","","","241.494000","2016-09-30","02/26/2011","09:32:25","3489"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2819","Projects, Activities","","","","","","10/31/2011","15:44:09","7007"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2331","Projects","","","","","","11/04/2011","15:27:01","7048"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2331","Projects, Activities","","","","","","11/08/2011","17:33:09","7067"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2847,2848","Projects, Activities","","","","","","11/08/2011","17:36:30","7078"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2847,2848","Projects, Activities","","","","","","11/30/2011","21:50:22","7169"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2848","Projects","","","","","","12/20/2011","09:09:21","7201"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2331,2848","Projects, Activities","","","","","","01/19/2012","16:58:51","7286"
"029-666666109","470","029","Department of Veterans Affairs","Benefits Legacy","04/09/2012","Rebaseline - adding new iteration","Adding new project St Paul Rules Based Claims Processing Pilot. Updated Metric Description for Benefits Legacy.","3075,2331","Projects, Activities, Metrics","","","","","","04/17/2012","14:53:27","8007"
"029-666666268","469","029","Department of Veterans Affairs","Benefits IT Support","01/11/2011","Rebaseline - other","Milestones for FY 2009 have been deactivated. Milestones were established in FY2010 and do not apply to FY 2009.","","","","","","1372.151000","2015-09-30","01/27/2011","07:43:50","2670"
"029-666666268","469","029","Department of Veterans Affairs","Benefits IT Support","01/11/2011","Rebaseline - other","Performance measures for FY 2009 have been deactivated. Performance measures were established in FY2010 and do not apply to FY 2009.","","","","","","1576.570000","2015-09-30","02/01/2011","12:58:56","2719"
"029-666666268","469","029","Department of Veterans Affairs","Benefits IT Support","02/15/2011","Correction","We have updated the Customer Satisfaction baseline and Customer Satisfaction target for FY10, FY11, and FY12. We have updated the Timeliness  target for FY10, FY11, and FY12. We have updated the Availability target for FY10, FY11, and FY12. We have corrected the Total Cost-Planned Cost for FY10 and FY11.","","","","","","1375.670000","2015-09-30","02/16/2011","09:18:42","2812"
"029-666666268","469","029","Department of Veterans Affairs","Benefits IT Support","02/15/2011","Correction","We have updated the Customer Satisfaction baseline and Customer Satisfaction target for FY10, FY11, and FY12. We have updated the Timeliness  target for FY10, FY11, and FY12. We have updated the Availability target for FY10, FY11, and FY12. We have corrected the Total Cost-Planned Cost for FY10 and FY11.","","","","","","1375.670000","2015-09-30","02/17/2011","16:20:16","2876"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","02/21/2011","Rebaseline - other","Rebaseline to update the OMB 300 to align with the major transformational initiatives,  Performance and Outcomes, Integrated Operating Model (IOM), Human Capital, Strategic Capital Investment Planning (SCIP), and Innovations.","","","","","","469.153000","2015-09-30","02/23/2011","13:29:37","3093"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","02/21/2011","Rebaseline - other","Rebaseline to update the OMB 300 to align with the major transformational initiatives,  Performance and Outcomes, Integrated Operating Model (IOM), Human Capital, Strategic Capital Investment Planning (SCIP), and Innovations.","","","","","","469.153000","2015-09-30","02/26/2011","09:56:33","3490"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","02/21/2011","Rebaseline - other","Rebaseline to update the OMB 300 to align with the major transformational initiatives,  Performance and Outcomes, Integrated Operating Model (IOM), Human Capital, Strategic Capital Investment Planning (SCIP), and Innovations.","","","","","","469.153000","2015-09-30","02/26/2011","09:59:31","3491"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2821,2822,2823,2341,2350","Projects, Activities, Metrics","","","2010-2016","","","10/31/2011","15:44:10","7011"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2339,2343,2344,2349,2353,2354,2355","Projects, Activities","","","2010-2016","","","11/04/2011","15:27:02","7051"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2350,2353,2355,2356","Projects, Activities","","","2010-2016","","","11/08/2011","17:33:11","7071"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2339,2340,2341,2822,2346,2347,2348,2350,2351,2352,2354,2356","Projects, Activities","","","2010-2016","","","11/30/2011","21:50:24","7171"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2339,2341,2342,2347,2349,2351,2353","Projects, Activities, Metrics","","","2010-2016","","","12/20/2011","09:09:22","7203"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2344,2350,2353,2354,2356","Projects, Activities, Metrics","","","2010-2016","","","01/19/2012","16:58:52","7289"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","02/03/2012","Correction","Program deliveries delayed due to the receipt of final ATO; Updated Activity Description for CSEMO Performance and Talent Management System (CPTMS).","2341,2343,2821,2344,2348,2349,2350,2823,2353,2355","Projects, Activities, Metrics","","","2010-2016","","","02/28/2012","16:14:34","7603"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","03/09/2012","Correction","Updated activity details for VAFM Space and Equipment Planning System- SEPS 3, Workforce Planning and VAFM Business Management System Support and Hosting.","2339,2340,2342,2343,2821,2822,2345,2346,2347,2348,2349,2351,2823,2355,2356","Projects, Activities, Metrics","","","2010-2016","","","03/19/2012","11:42:27","7743"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","04/06/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Updated project and activity details for VAFM Business Management System Support and Hosting, VAFM Corporate and Regional Matrixed Budget Management System and VAFM Space and Equipment Planning System- SEPS 3.","2349,2351,2352,2354,2355,2356,2357","Projects, Activities","","","2010-2016","","","04/17/2012","14:53:48","8013"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","05/08/2012","Correction","Updated project and activity details for CSEMO Performance and Talent Management System (CPTMS), Human Resource (HR) Academy Web Portal, Human Resources Information System (HRIS) Shared Service Center (SSC), Labor Management Relations Tracking System (LMR), Reasonable Accommodation Compliance System, VA Time and Attendance System (VATAS), VA Time and Attendance System (VATAS), VAFM Construction Project Management Software,VAFM Space and Equipment Planning System- SEPS 3.","2339,2340,2343,2821,2347,2349,2351,2352,2823,2353,2354,2355,2356","Projects, Activities, Metrics","","","2010-2016","","","05/21/2012","17:08:46","8217"
"029-777777106","472","029","Department of Veterans Affairs","Corporate 21st Century Core","06/08/2012","Correction","Updated Activity Details for CSEMO Performance and Talent Management System (CPTMS).","2341,2344,2345,2346,2348,2350,2351,2823,2357","Projects, Activities, Metrics","","","2010-2016","","","06/21/2012","13:41:28","8449"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","01/01/1950","Rebaseline - change in funding strategy","String","","","","","","129.936000","2014-09-30","02/22/2011","11:17:55","3015"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","02/24/2011","Rebaseline - change in scope","The SAM project is considered a Restart because FLITE was terminated in July 2010.  Two-thirds of the program including Integrated Financial Accounting System (IFAS) and Federal Data Warehouse (FDW) were cut.","","","","","","157.463000","2014-09-30","02/25/2011","13:28:58","3385"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","02/25/2011","Rebaseline - change in scope","The SAM project is considered a Restart because FLITE was terminated in July 2010.  Two-thirds of the program including Integrated Financial Accounting System (IFAS) and Federal Data Warehouse (FDW) were cut.","","","","","","207.389000","2016-09-30","02/25/2011","13:54:24","3393"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","02/25/2011","Rebaseline - change in scope","The SAM project is considered a Restart because FLITE was terminated in July 2010.  Two-thirds of the program including Integrated Financial Accounting System (IFAS) and Federal Data Warehouse (FDW) were cut.","","","","","","207.389000","2016-09-30","02/25/2011","15:58:21","3432"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","02/25/2011","Rebaseline - change in scope","The SAM project is considered a Restart because FLITE was terminated in July 2010.  Two-thirds of the program including Integrated Financial Accounting System (IFAS) and Federal Data Warehouse (FDW) were cut.","","","","","","207.389000","2016-09-30","02/25/2011","17:10:21","3458"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","02/25/2011","Rebaseline - change in scope","The SAM project is considered a Restart because FLITE was terminated in July 2010.  Two-thirds of the program including Integrated Financial Accounting System (IFAS) and Federal Data Warehouse (FDW) were cut.","","","","","","207.389000","2016-09-30","02/25/2011","17:46:53","3475"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","02/22/2011","Rebaseline - other","Update milestone name","","","","","","207.389000","2016-09-30","02/26/2011","13:39:23","3510"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","Metrics","4.000000","","2008-2017","","","10/31/2011","15:44:10","7010"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","","4.000000","","2008-2017","","","11/08/2011","17:33:10","7070"
"029-777777029","473","029","Department of Veterans Affairs","Corporate 21st Century SAM","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2338","Projects, Activities","4.000000","","2008-2017","","","12/20/2011","09:09:22","7202"
"029-777777110","475","029","Department of Veterans Affairs","Corporate IT Support Enterprise Cyber Security and Privacy","02/02/2011","Correction","Updated figures provided to the total cost planned cost following the OMB Passback of the FY12","","","","","","545.503000","2012-09-30","02/02/2011","13:23:56","2724"
"029-777777110","475","029","Department of Veterans Affairs","Corporate IT Support Enterprise Cyber Security and Privacy","02/23/2011","Correction","Updated figures provided to the total cost planned cost following the OMB Passback of the FY12","","","","","","559.627000","2012-09-30","02/24/2011","14:04:30","3220"
"029-777777110","475","029","Department of Veterans Affairs","Corporate IT Support Enterprise Cyber Security and Privacy","10/26/2011","Correction","Corrected data from last month's submission","","Metrics","","","2004-2018","","","10/31/2011","15:44:11","7013"
"029-777777109","474","029","Department of Veterans Affairs","Enterprise IT Support","01/11/2011","Rebaseline - other","Performance measures for FY 2009 have been deactivated. Performance measures were established in FY2010 and do not apply to FY 2009.","","","","","","1605.539000","2015-09-30","02/01/2011","12:59:59","2720"
"029-777777109","474","029","Department of Veterans Affairs","Enterprise IT Support","02/15/2011","Correction","We have updated the Customer Satisfaction baseline and Customer Satisfaction target for FY10, FY11, and FY12.  We have updated the Timeliness  target for FY10, FY11, and FY12. We have updated the Availability target for FY10, FY11, and FY12. We have corrected the Total Cost-Planned Cost for FY10 and FY11","","","","","","1860.661000","2015-09-30","02/16/2011","09:17:33","2811"
"029-777777109","474","029","Department of Veterans Affairs","Enterprise IT Support","02/15/2011","Correction","We have updated the Customer Satisfaction baseline and Customer Satisfaction target for FY10, FY11, and FY12.  We have updated the Timeliness  target for FY10, FY11, and FY12. We have updated the Availability target for FY10, FY11, and FY12. We have corrected the Total Cost-Planned Cost for FY10 and FY11","","","","","","1860.661000","2015-09-30","02/17/2011","12:04:44","2853"
"029-777777109","474","029","Department of Veterans Affairs","Enterprise IT Support","10/26/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2824","Projects, Activities, Metrics","3.883450","","","","","10/31/2011","15:44:10","7012"
"029-777777109","474","029","Department of Veterans Affairs","Enterprise IT Support","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","","3.883450","","","","","11/08/2011","17:33:13","7072"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion(BCE)","02/15/2011","Rebaseline - change in funding strategy","","","","","","","","","02/16/2011","12:20:05","2816"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion(BCE)","02/17/2011","Rebaseline - change in funding strategy","-Milestone Planned Costs-----Previous planned costs were established before the Project was Paused and restructured to meet PMAS requirements.-----The planned costs for this investment have been reduced as a result of gaining a greater understanding of the level of effort that will be required to achieve the desired goals.-----A significant cost savings was also realized due to the source selection of the incumbent vendor.  -----A change in deployment strategy from hosting the system on local servers to hosting it at regional data centers resulted in an overall cost savings. -Milestone Dates-----Previous milestone dates were established before the project was Paused and restructured to meet PMAS requirements.-----Milestone durations have been shortened to reflect PMAS requirements and represent outcome-oriented customer-facing deliverables. -----A change in deployment strategy from hosting the system on local servers to hosting it at regional data centers required adjustments to the milestone dates.","","","","","","21.025000","2015-11-11","02/17/2011","16:05:43","2870"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion(BCE)","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","Metrics","","","2010-2015","","","10/31/2011","15:44:07","6999"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion(BCE)","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","","","","2010-2015","","","11/08/2011","17:33:03","7059"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion(BCE)","02/14/2012","Correction","Updates to Metric Description and project risk information.","","Metrics","","","2010-2015","","","02/28/2012","16:14:28","7600"
"029-555555111","482","029","Department of Veterans Affairs","Medical 21st Century Bar Code Expansion(BCE)","04/09/2012","Correction","Updated Metric Description for Medical 21st Century Bar Code Expansion (BCE).","","","","","2010-2015","","","04/17/2012","14:53:18","7997"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","02/22/2011","Rebaseline - change in funding strategy","The CAPRI Reengineering effort has yet to be be funded and will remain unfunded through FY2012.  There has also been a change in scope from original CAPRI Reengineering submission to now also include Sustainment and DME activities to current CAPRI systems. Previous milestones applied only to CAPRI Reengineering and are no longer valid since the start of that effort has been delayed.","","","","","","143.425000","2020-09-30","02/23/2011","12:27:38","3085"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","02/23/2011","Rebaseline - change in funding strategy","Deactivate Milestones","","","","","","74.504000","2018-06-30","02/24/2011","11:03:37","3157"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","Metrics","0.593250","","2010-2017","","","10/31/2011","15:44:09","7003"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","","","0.593250","","2010-2017","","","11/08/2011","17:33:08","7063"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","02/10/2012","Correction","Adding new iterations for Compensation and Pension Record Interchange (CAPRI) Tactical.","","","0.593250","","2010-2017","","","03/19/2012","11:42:10","7733"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","05/08/2012","Correction","Updated activity details for Compensation and Pension Record Interchange (CAPRI) Tactical Enhancements.","","","0.593250","","2010-2017","","","05/21/2012","17:08:44","8205"
"029-555555194","483","029","Department of Veterans Affairs","Medical 21st Century CAPRI","06/08/2012","Correction","Updated Activity Details for Compensation and Pension Record Interchange (CAPRI) Tactical Enhancements.","2320","Projects, Activities","2.640574","","2010-2017","","","06/21/2012","13:40:53","8443"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/23/2011","Correction","Contract data and milestones still reflect previous BY 2011 HealtheVet Core investment projects: Repositories [Health Data Repository (HDR), Administrative Data Repository (ADR), Blood Bank, and Standards and Terminology Services (STS)].  These projects have since been moved to other investments:   - Repositories (HDR, ADR) - now under Interagency 21st Century Veterans Interoperability  - Blood Bank (VBECS) Development - now under Medical Legacy  - STS - now under Interagency 21st Century Veterans Interoperability The scope still reflects the BY 2012 HealtheVet Core initial submission in September 2010: Testing Services and Software Engineering to support (select) Major Initiatives and continuing DME.The current scope of this investment - after the passback - is for development and sustainment efforts to support the Secretary's 16 major initiatives. ","","","","","","358.661000","2026-09-30","02/24/2011","09:39:31","3150"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/25/2011","Rebaseline - change in scope","Contract data and milestones still reflect previous BY 2011 HealtheVet Core investment projects: Repositories [Health Data Repository (HDR), Administrative Data Repository (ADR), Blood Bank, and Standards and Terminology Services (STS)].  These projects have since been moved to other investments:   - Repositories (HDR, ADR) - now under Interagency 21st Century Veterans Interoperability  - Blood Bank (VBECS) Development - now under Medical Legacy  - STS - now under Interagency 21st Century Veterans Interoperability The scope still reflects the BY 2012 HealtheVet Core initial submission in September 2010: Testing Services and Software Engineering to support (select) Major Initiatives and continuing DME.The current scope of this investment - after the passback - is for development and sustainment efforts to support the Secretary's 16 major initiatives. ","","","","","","713.114000","2026-09-30","02/25/2011","15:03:55","3411"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/25/2011","Rebaseline - change in scope","Contract data and milestones still reflect previous BY 2011 HealtheVet Core investment projects: Repositories [Health Data Repository (HDR), Administrative Data Repository (ADR), Blood Bank, and Standards and Terminology Services (STS)].  These projects have since been moved to other investments: .","","","","","","713.114000","2026-09-30","02/25/2011","17:35:31","3471"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/26/2011","Rebaseline - change in scope","Contract data and milestones still reflect previous BY 2011 HealtheVet Core investment projects: Repositories [Health Data Repository (HDR), Administrative Data Repository (ADR), Blood Bank, and Standards and Terminology Services (STS)].  These projects have since been moved to other investments:   - Repositories (HDR, ADR) - now under Interagency 21st Century Veterans Interoperability  - Blood Bank (VBECS) Development - now under Medical Legacy  - STS - now under Interagency 21st Century Veterans Interoperability The scope still reflects the BY 2012 HealtheVet Core initial submission in September 2010: Testing Services and Software Engineering to support (select) Major Initiatives and continuing DME.The current scope of this investment - after the passback - is for development and sustainment efforts to support the Secretary's 16 major initiatives. ","","","","","","713.114000","2026-09-30","02/26/2011","15:37:02","3525"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/28/2011","Rebaseline - change in scope","Deactivate Milestones","","","","","","358.661000","2026-09-30","02/28/2011","10:43:36","3611"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/28/2011","Rebaseline - change in scope","Contract data and milestones still reflect previous BY 2011 HealtheVet Core investment projects: Repositories [Health Data Repository (HDR), Administrative Data Repository (ADR), Blood Bank, and Standards and Terminology Services (STS)].  These projects have since been moved to other investments:   - Repositories (HDR, ADR) - now under Interagency 21st Century Veterans Interoperability  - Blood Bank (VBECS) Development - now under Medical Legacy  - STS - now under Interagency 21st Century Veterans Interoperability The scope still reflects the BY 2012 HealtheVet Core initial submission in September 2010: Testing Services and Software Engineering to support (select) Major Initiatives and continuing DME.The current scope of this investment - after the passback - is for development and sustainment efforts to support the Secretary's 16 major initiatives.","","","","","","713.114000","2026-09-30","02/28/2011","11:22:39","3622"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","02/28/2011","Rebaseline - change in scope","Deactivate Milestones","","","","","","713.114000","2015-09-30","02/28/2011","16:15:32","3675"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","03/08/2011","Correction","Updating milestone names for completed milestones","","","","","","713.114000","2015-09-30","03/15/2011","14:47:40","3759"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2805","Projects, Activities, Metrics","","","2009-2020","","","10/31/2011","15:44:07","6996"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2226,2227,2232,2235,2236,2237,2239","Projects, Activities","","","2009-2020","","","11/04/2011","15:26:56","7041"
"029-555555108","484","029","Department of Veterans Affairs","Medical 21st Century Development Core","10/14/2011","Correction","Due to oversight or submission error, the investment submission omitted some projects that were approved for execution in FY2012, and/or includes additional activities since the project has progressed thru the planning process as defined and approved as a part of the Project Management Accountability System under which development projects are managed, or includes updated metric information.","2226,2231,2232,2236,2239","Projects, Activities","","","2009-2020","","","11/08/2011","17:33:01","7056"
