"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY BudgetAuthority ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY BudgetAuthority ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	025","Department of Housing and Urban Development","	00",025-000004370,"Core Financial Services",025-000004370,"	04",025-35-0402,"Transformation Initiative","	025","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784746,578035,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004370,"Core Financial Services",025-000004370,"	04",025-35-4586,"Information Technology Fund","	025","	35",,9.34402,12.13944,12.04018,0,0,0.449945,0,0,0,0,9.34402,0,11.689495,0,12.04018,0,12.04018,784747,578035,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004630,"Regulatory Enforcement",025-000004630,"	04",025-35-0402,"Transformation Initiative","	025","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784748,578036,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004630,"Regulatory Enforcement",025-000004630,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0,0.943796,0.97211,0,0,0,0,0,0,0,0,0,0.943796,0,0.97211,0,0.97211,784749,578036,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999993100,"OCIO-eGov Geospatial LOB",025-999993100,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784750,578037,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999993100,"OCIO-eGov Geospatial LOB",025-999993100,"	04",025-35-0335,"Administrative Support Offices","	025","	35",,0.05,0.05,0.05,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,784751,578037,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004410,"Data Management Services",025-000004410,"	04",025-35-4586,"Information Technology Fund","	025","	35",,4.559794,14.42907,5.045258,2,0,11.472509,0,2,0,2,2.559794,0,2.956561,0,3.045258,0,3.045258,784752,578038,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999991200,"OCIO-eGov Human Resources Management LOB",025-999991200,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784753,578039,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999991200,"OCIO-eGov Human Resources Management LOB",025-999991200,"	04",025-35-0335,"Administrative Support Offices","	025","	35",,0.068478,0.068478,0.068478,0.068478,0,0.068478,0,0.068478,0,0.068478,0,0,0,0,0,0,0,784754,578039,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004400,"Unified HUD Enterprise Customer Relationship Management Support (CRM)",025-000004400,"	04",025-35-0402,"Transformation Initiative","	025","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784758,578041,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004400,"Unified HUD Enterprise Customer Relationship Management Support (CRM)",025-000004400,"	04",025-35-4586,"Information Technology Fund","	025","	35",,1.596121,1.974824,1.567895,0,0,0.452595,0,0,0,0,1.596121,0,1.522229,0,1.567895,0,1.567895,784759,578041,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000005600,"Departmental Planning and Budgeting",025-000005600,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0.548971,0.608541,0.626797,0,0,0,0,0,0,0,0.548971,0,0.608541,0,0.626797,0,0.626797,784762,578043,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	35",025-000000089,"UNISYS Migration Program - Technology Modernization Fund",025-000000089,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0,15.905415,6,0,0,14.905415,0,5,0,5,0,0,1,0,1,0,1,784763,578044,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999993200,"OCIO-eGov Budget Formulation and Execution LOB",025-999993200,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784764,578045,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999993200,"OCIO-eGov Budget Formulation and Execution LOB",025-999993200,"	04",025-35-0335,"Administrative Support Offices","	025","	35",,0.11,0.11,0.11,0.11,0,0.11,0,0.11,0,0.11,0,0,0,0,0,0,0,784765,578045,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004610,"Public Affairs",025-000004610,"	04",025-35-4586,"Information Technology Fund","	025","	35",,1.439808,1.58381,1.631324,0,0,0,0,0,0,0,1.439808,0,1.58381,0,1.631324,0,1.631324,784766,578046,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-999990060,"OCIO-eGov eRulemaking Docket",025-999990060,"	04",025-35-4586,"Information Technology Fund","	025","	35",,0.167426,0.181177,0.170018,0,0,0,0,0,0,0,0.167426,0,0.181177,0,0.170018,0,0.170018,784769,578048,2019-02-19,21:27:58
"	025","Department of Housing and Urban Development","	00",025-000004430,"Document Management",025-000004430,"	04",025-35-4586,"Information Technology Fund","	025","	35",,2.069689,2.250188,2.317694,0,0,0,0,0,0,0,2.069689,0,2.250188,0,2.317694,0,2.317694,784770,578049,2019-02-19,21:27:58
"	026","National Aeronautics and Space Administration","	00",026-000001011,"Earth Systematic Missions Program (359A)",026-000001011,"	04",026-00-0120,Science,"	026","	00",,30.851081,40.569599,41.069094,14.533723,0,21.005967,0,23.8252,0,23.8252,16.317358,0,19.563632,0,17.243894,0,17.243894,788451,579944,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001124,"NASA High-End Computing Capability (HECC)",026-000001124,"	04",026-00-0126,Aeronautics,"	026","	00",,3.57,0,0,2.984,0,0,0,0,0,0,0.586,0,0,0,0,0,0,788453,579946,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001124,"NASA High-End Computing Capability (HECC)",026-000001124,"	04",026-00-0130,"Construction and Environmental Compliance and Restoration","	026","	00",,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,788454,579946,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001124,"NASA High-End Computing Capability (HECC)",026-000001124,"	04",026-00-0120,Science,"	026","	00",,41.855498,46.501,45.898,10.060792,0,16.51,0,15.107,0,15.107,31.794706,0,29.991,0,30.791,0,30.791,788455,579946,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001081,"Human Research Program (317V)",026-000001081,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,0.4278,0.4248,0.4228,0.341,0,0.341,0,0.341,0,0.341,0.0868,0,0.0838,0,0.0818,0,0.0818,788457,579948,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001114,"Ames Research Center (ARC) IT Operations",026-000001114,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,4.595216,5.931324,5.953644,0.115,0,0.115,0,0.115,0,0.115,4.480216,0,5.816324,0,5.838644,0,5.838644,788458,579949,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001128,"Orion Program",026-000001128,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,169.162932,161.436008,156.200569,168.556645,0,160.63939,0,155.486935,0,155.486935,0.606287,0,0.796618,0,0.713634,0,0.713634,788459,579950,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001128,"Orion Program",026-000001128,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,0.319436,0.325819,0.33233,0.000424,0,0,0,0,0,0,0.319012,0,0.325819,0,0.33233,0,0.33233,788460,579950,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001031,"Planetary Science Research Program (515A)",026-000001031,"	04",026-00-0120,Science,"	026","	00",,9.118267,8.987121,9.39411,4.564026,0,4.466453,0,4.641418,0,4.641418,4.554241,0,4.520668,0,4.752692,0,4.752692,788461,579951,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001132,"Glenn Research Center (GRC) IT Operations",026-000001132,"	04",026-00-0126,Aeronautics,"	026","	00",,1.033966,1.046832,1.033365,0.013625,0,0.00875,0,0.0099,0,0.0099,1.020341,0,1.038082,0,1.023465,0,1.023465,788462,579952,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001132,"Glenn Research Center (GRC) IT Operations",026-000001132,"	04",026-00-0130,"Construction and Environmental Compliance and Restoration","	026","	00",,0.853817,7.654391,1.02994,0.82504,0,7.625,0,1,0,1,0.028777,0,0.029391,0,0.02994,0,0.02994,788463,579952,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001132,"Glenn Research Center (GRC) IT Operations",026-000001132,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,0.358847,0.362743,0.361087,0.005375,0,0.00375,0,0.0043,0,0.0043,0.353472,0,0.358993,0,0.356787,0,0.356787,788464,579952,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001132,"Glenn Research Center (GRC) IT Operations",026-000001132,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,14.699487,12.565312,12.297421,2.777983,0,0.857525,0,0.719435,0,0.719435,11.921504,0,11.707787,0,11.577986,0,11.577986,788465,579952,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001149,"Rocket Propulsion Test (734A)",026-000001149,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,1.930463,1.868163,2.036044,0.810977,0,0.739,0,0.895,0,0.895,1.119486,0,1.129163,0,1.141044,0,1.141044,788466,579953,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001136,"Goddard Space Flight Center (GSFC) IT Operations",026-000001136,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,19.288254,17.500406,16.340055,2.594,0,2.369,0,2.2,0,2.2,16.694254,0,15.131406,0,14.140055,0,14.140055,788467,579954,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000005030,"JSC CA Training Systems",026-000005030,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,3.361854,3.46271,3.566591,0,0,0,0,0,0,0,3.361854,0,3.46271,0,3.566591,0,3.566591,788468,579955,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000005030,"JSC CA Training Systems",026-000005030,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,23.808263,24.513246,25.259557,0,0,0,0,0,0,0,23.808263,0,24.513246,0,25.259557,0,25.259557,788469,579955,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000005030,"JSC CA Training Systems",026-000005030,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788470,579955,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001001,"MSFC - HP - Payload Operations and Integration Center (POIC)",026-000001001,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,30.874,27.5,28.892,0,0,0,0,0,0,0,30.874,0,27.5,0,28.892,0,28.892,788471,579956,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001142,"Johnson Space Center (JSC) IT Operations",026-000001142,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,2.667072,0.621901,0.641006,0.938548,0,0.133092,0,0.137088,0,0.137088,1.728524,0,0.488809,0,0.503918,0,0.503918,788472,579957,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001142,"Johnson Space Center (JSC) IT Operations",026-000001142,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,3.066797,4.686638,4.827242,1.272844,0,1.896598,0,1.953496,0,1.953496,1.793953,0,2.79004,0,2.873746,0,2.873746,788473,579957,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001142,"Johnson Space Center (JSC) IT Operations",026-000001142,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,22.135125,21.852332,22.520443,3.524465,0,3.177917,0,3.273252,0,3.273252,18.61066,0,18.674415,0,19.247191,0,19.247191,788474,579957,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001142,"Johnson Space Center (JSC) IT Operations",026-000001142,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,20.737551,22.111113,23.002101,0.703194,0,0.665195,0,0.782152,0,0.782152,20.034357,0,21.445918,0,22.219949,0,22.219949,788475,579957,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001142,"Johnson Space Center (JSC) IT Operations",026-000001142,"	04",026-00-0120,Science,"	026","	00",,0.358174,0.344297,0.354636,0.022986,0,0.029579,0,0.030466,0,0.030466,0.335188,0,0.314718,0,0.32417,0,0.32417,788476,579957,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001009,"Earth Science Research (728A)",026-000001009,"	04",026-00-0120,Science,"	026","	00",,7.763054,7.800917,7.982173,1.160641,0,1.171227,0,1.18207,0,1.18207,6.602413,0,6.62969,0,6.800103,0,6.800103,788477,579958,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001027,"New Frontiers Program (401A)",026-000001027,"	04",026-00-0120,Science,"	026","	00",,3.619569,3.779954,3.610731,0.0135,0,0.0135,0,0.0135,0,0.0135,3.606069,0,3.766454,0,3.597231,0,3.597231,788478,579959,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001000,"Applied Sciences Program",026-000001000,"	04",026-00-0120,Science,"	026","	00",,0.51836,0.532009,0.545378,0.157,0,0.158,0,0.159,0,0.159,0.36136,0,0.374009,0,0.386378,0,0.386378,788480,579961,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)",026-000001501,"	04",026-00-0120,Science,"	026","	00",,170.45,169.47,175.183,0,0,0,0,0,0,0,170.45,0,169.47,0,175.183,0,175.183,788481,579962,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001118,"Lunar Discovery and Exploration",026-000001118,"	04",026-00-0120,Science,"	026","	00",,0.88641,0.913002,0.940392,0,0,0,0,0,0,0,0.88641,0,0.913002,0,0.940392,0,0.940392,788483,579964,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001151,"Earth Science Multi-Mission Operations",026-000001151,"	04",026-00-0120,Science,"	026","	00",,2.606929,0.560868,0.570392,2.329712,0,0.278,0,0.279,0,0.279,0.277217,0,0.282868,0,0.291392,0,0.291392,788486,579966,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001125,"Crew And Cargo Program",026-000001125,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,0.03,0.03,0.03,0.015,0,0.015,0,0.015,0,0.015,0.015,0,0.015,0,0.015,0,0.015,788487,579967,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001029,"Outer Planets Program (567W)",026-000001029,"	04",026-00-0120,Science,"	026","	00",,6.605891,1.178071,1.362653,1.668594,0,1.145836,0,1.32945,0,1.32945,4.937297,0,0.032235,0,0.033203,0,0.033203,788488,579968,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001147,"Technology Demonstration (251Y)",026-000001147,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,4.162248,1.615456,0.735351,3.144584,0,0.792877,0,0,0,0,1.017664,0,0.822579,0,0.735351,0,0.735351,788489,579969,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001129,"Environmental Compliance And Restoration",026-000001129,"	04",026-00-0130,"Construction and Environmental Compliance and Restoration","	026","	00",,0.8579,0.878,0.8065,0.05,0,0.05,0,0,0,0,0.8079,0,0.828,0,0.8065,0,0.8065,788490,579970,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-999991200,"Human Resources LOB (fee)",026-999991200,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0.56265,0.620532,0.474372,0,0,0,0,0,0,0,0.56265,0,0.620532,0,0.474372,0,0.474372,788491,579971,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-999993200,"Budget Formulation and Execution LOB (fee)",026-999993200,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0.13,0.105,0.107,0,0,0,0,0,0,0,0.13,0,0.105,0,0.107,0,0.107,788492,579972,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001017,"Heliophysics Research Program (646O)",026-000001017,"	04",026-00-0120,Science,"	026","	00",,6.204793,6.34427,6.49741,0.003,0,0.003,0,0.003,0,0.003,6.201793,0,6.34127,0,6.49441,0,6.49441,788493,579973,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000000756,"Advanced Multi-Mission Operation System (823153)",026-000000756,"	04",026-00-0120,Science,"	026","	00",,37.226353,37.384898,36.894121,29.213273,0,29.387004,0,29.012239,0,29.012239,8.01308,0,7.997894,0,7.881882,0,7.881882,788494,579974,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-999991218,"USAJobs (formerly Recruitment One Stop) (fee)",026-999991218,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0.34706,0.34468,0.33913,0,0,0,0,0,0,0,0.34706,0,0.34468,0,0.33913,0,0.33913,788495,579975,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001007,"Discovery Program (502A)",026-000001007,"	04",026-00-0120,Science,"	026","	00",,5.293205,2.829956,6.011254,4.217238,0,1.502345,0,4.936838,0,4.936838,1.075967,0,1.327611,0,1.074416,0,1.074416,788497,579977,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001502,"NASA Center for Climate Simulation (NCCS)",026-000001502,"	04",026-00-0120,Science,"	026","	00",,12.856817,18.663937,17.985963,0,0,0,0,0,0,0,12.856817,0,18.663937,0,17.985963,0,17.985963,788499,579979,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001012,"Earth System Science Pathfinder Program (278A)",026-000001012,"	04",026-00-0120,Science,"	026","	00",,13.463256,7.142566,7.427127,8.163428,0,1.106185,0,0.279936,0,0.279936,5.299828,0,6.036381,0,7.147191,0,7.147191,788500,579980,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001117,"Launch Services",026-000001117,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,16.206255,15.507551,17.426026,5.368045,0,5.320397,0,5.847537,0,5.847537,10.83821,0,10.187154,0,11.578489,0,11.578489,788501,579981,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000000921,"Advanced Air Vehicles Program",026-000000921,"	04",026-00-0126,Aeronautics,"	026","	00",,22.677341,18.01505,11.921153,12.346126,0,7.900957,0,2.317391,0,2.317391,10.331215,0,10.114093,0,9.603762,0,9.603762,788502,579982,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001145,"Kennedy Space Center (KSC) IT Operations",026-000001145,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,34.834602,36.349054,37.535753,3.1392,0,1.081517,0,1.119837,0,1.119837,31.695402,0,35.267537,0,36.415916,0,36.415916,788503,579983,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001024,"Mars Explorer Program (269B)",026-000001024,"	04",026-00-0120,Science,"	026","	00",,39.148144,37.862757,33.975233,12.711038,0,13.040582,0,11.071382,0,11.071382,26.437106,0,24.822175,0,22.903851,0,22.903851,788505,579985,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001122,"Armstrong Flight Research Center (AFRC) IT Operations",026-000001122,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,6.38619,5.57738,5.20555,0,0,0,0,0,0,0,6.38619,0,5.57738,0,5.20555,0,5.20555,788506,579986,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001086,"Space Technology Research & Development (227J)",026-000001086,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,0.71,0.74,0.74,0.57,0,0.58,0,0.58,0,0.58,0.14,0,0.16,0,0.16,0,0.16,788512,579989,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001003,"Astrophysics Explorer Program (404A)",026-000001003,"	04",026-00-0120,Science,"	026","	00",,9.831821,6.152956,4.443396,1.157515,0,0.796,0,0.884,0,0.884,8.674306,0,5.356956,0,3.559396,0,3.559396,788513,579990,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001155,"Stennis Space Center (SSC) IT Operations",026-000001155,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,5.134,5.2,4.941,0.787,0,0.733,0,0.788,0,0.788,4.347,0,4.467,0,4.153,0,4.153,788514,579991,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000000924,"Transformative Aero Concepts Program",026-000000924,"	04",026-00-0126,Aeronautics,"	026","	00",,3.680318,3.821678,3.370686,1.478738,0,1.448104,0,1.033071,0,1.033071,2.20158,0,2.373574,0,2.337615,0,2.337615,788515,579992,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001102,"NASA Financial Management System",026-000001102,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,6.030625,6.076465,6.12368,0,0,0,0,0,0,0,6.030625,0,6.076465,0,6.12368,0,6.12368,788516,579993,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001102,"NASA Financial Management System",026-000001102,"	04",026-00-4546,"Working Capital Fund","	026","	00",,8.601603,7.465617,7.46729,0,0,0,0,0,0,0,8.601603,0,7.465617,0,7.46729,0,7.46729,788517,579993,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000000727,"NASA Consolidated Center CMO IT Security & Compliance Program",026-000000727,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,30.687022,29.181475,29.489312,1.717765,0,1.161351,0,1.177585,0,1.177585,28.969257,0,28.020124,0,28.311727,0,28.311727,788524,579999,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001152,"Exploration Ground Systems",026-000001152,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,107.467816,98.555916,89.430576,88.296223,0,75.296008,0,56.920353,0,56.920353,19.171593,0,23.259908,0,32.510223,0,32.510223,788525,580000,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000011863,"JSC EA Engineering Directorate Programmatic Investment",026-000011863,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,28.719883,30.978231,29.632564,7.375762,0,8.966722,0,8.044474,0,8.044474,21.344121,0,22.011509,0,21.58809,0,21.58809,788527,580002,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000011863,"JSC EA Engineering Directorate Programmatic Investment",026-000011863,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,0.163952,0.174129,0.219892,0,0,0,0,0,0,0,0.163952,0,0.174129,0,0.219892,0,0.219892,788528,580002,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000011863,"JSC EA Engineering Directorate Programmatic Investment",026-000011863,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,29.027244,31.223643,31.149666,1.4149,0,2.302524,0,2.175957,0,2.175957,27.612344,0,28.921119,0,28.973709,0,28.973709,788529,580002,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000011863,"JSC EA Engineering Directorate Programmatic Investment",026-000011863,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,8.417996,9.728358,9.039552,0.612269,0,0.821635,0,0.771821,0,0.771821,7.805727,0,8.906723,0,8.267731,0,8.267731,788530,580002,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000011863,"JSC EA Engineering Directorate Programmatic Investment",026-000011863,"	04",026-00-0120,Science,"	026","	00",,0.317094,0.317532,0.018148,0,0,0,0,0,0,0,0.317094,0,0.317532,0,0.018148,0,0.018148,788531,580002,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001077,"Advanced Exploration Systems (806K)",026-000001077,"	04",026-00-0124,"Deep Space Exploration Systems","	026","	00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788533,580004,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001077,"Advanced Exploration Systems (806K)",026-000001077,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,4.293355,3.230464,3.278754,1.502185,0,0.476338,0,0.480921,0,0.480921,2.79117,0,2.754126,0,2.797833,0,2.797833,788534,580004,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001100,"Federal Public Key Infrastructure Bridge",026-000001100,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0.59064,0.12128,0.358,0,0,0,0,0,0,0,0.59064,0,0.12128,0,0.358,0,0.358,788535,580005,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-999990060,"E-Rulemaking (fee)",026-999990060,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0.01,0.01,0.014,0,0,0,0,0,0,0,0.01,0,0.01,0,0.014,0,0.014,788536,580006,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001120,"Lunar Orbital Platform - Gateway",026-000001120,"	04",026-00-0131,"Exploration Research and Technology","	026","	00",,0.26141,0.26169,0.318348,0,0,0,0,0,0,0,0.26141,0,0.26169,0,0.318348,0,0.318348,788537,580007,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-999993100,"Geospatial LOB (fee)",026-999993100,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,0.225,0.225,0.225,0,0,0,0,0,0,0,0.225,0,0.225,0,0.225,0,0.225,788539,580009,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001126,"NASA Agency IT Services",026-000001126,"	04",026-00-0122,"Safety, Security and Mission Services","	026","	00",,35.59103,20.193,27.273,0.807,0,0.42,0,0.45,0,0.45,34.78403,0,19.773,0,26.823,0,26.823,788540,580010,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001034,"Solar Terrestrial Probes Program (431A)",026-000001034,"	04",026-00-0120,Science,"	026","	00",,1.909418,1.880654,1.916889,0.021,0,0,0,0,0,0,1.888418,0,1.880654,0,1.916889,0,1.916889,788541,580011,2019-02-20,00:24:12
"	026","National Aeronautics and Space Administration","	00",026-000001079,"Commercial Crew Program (512I)",026-000001079,"	04",026-00-0115,"LEO and Spaceflight Operations","	026","	00",,0.03728,0.156993,0.154505,0.015,0,0.015,0,0.015,0,0.015,0.02228,0,0.141993,0,0.139505,0,0.139505,788542,580012,2019-02-20,00:24:12
