"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Release Every Six Mo","Release Every Six Mo Comment","Production Deployment Date","Funded by TMF or IT WCF Funding?","Commercial Solution(s) Adoption","Commercial Solution(s) Reasoning","Commercial Solution(s) Costs","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3125M18001,15519,,"IDP - Dissemination Infrastructure and Virtualized Application Services (O&M)","Maintain IDP Infrastructure and Virtualized Application Services (100% backup for hosted applications - including NextGen, DIS/NCO Labor, IDP-Boulder Rent, H/W maintenance, S/W maintenance, operational contractor support).",2017-10-01,2018-09-30,20.554,"3 - Not Primarily a Software Development Project",n/a,"Incremental releases are verified as needed through standard maintenance.",2017-10-31,N/A,N/A,N/A,N/A,0,0,Green,4.316148,21,Yellow,Completed,02/22/2019,18:08:20
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3125M18002,15520,,"Terrestrial and Satellite Network Services (O&M)","Maintain DIS Networks (Legacy OPSNet, DIS/NCO Labor, Misc Comms, VSAT, GRB Antenna Maintenance/Harris ECP3).",2017-10-01,2018-09-30,5.523,"3 - Not Primarily a Software Development Project",n/a,"Incremental releases are verified as needed through standard maintenance.  Ongoing OneNWS Network Upgrades. Contracts are updated/verified as needed.",2018-01-26,N/A,N/A,N/A,N/A,0,0,Green,-0.536446,-9.71,Green,Completed,02/22/2019,18:08:20
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3120D19001,16602,,"FY19 NOAA Weather Radio (DME)","NWR Upgrades (H/W refresh for generators, antennas, test equipment, engineering and development contract support, TCP-IP technology).",2018-10-01,2019-09-30,2.211,"3 - Not Primarily a Software Development Project",yes,,2017-12-31,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,02/22/2019,18:08:20
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3120M19002,16603,,"FY19 Weather Information Distribution Services (O&M)","Maintain 96% NWR Transmitter Availability (DIS Labor, NWR Telecom, Regional NWR Support for circuits/leases, NWR National Maintenance, Licensing).",2018-10-01,2019-09-30,17.644439,"3 - Not Primarily a Software Development Project",n/a,"Incremental releases are verified through Monthly Metric submission. NWR Maintenance and Licensing renewed/updated as needed. NWR Maintenance Contract in process of moving to Field Maintenance.",2018-01-31,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,02/22/2019,18:08:20
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3125D19001,16604,,"FY19 Ground Readiness (Terrestrial)","GOES-R (GOES-16) Ground Readiness Upgrades and Operations/Maintenance support for OneNWS Network and GOES-16 Rebroadcast (GRB) Antennas and Product Generation).",2018-10-01,2019-09-30,24.26218,"3 - Not Primarily a Software Development Project",no,"Incremental releases are verified through NCO Onboarding and Go Live presentation.  Products are not strictly adhered to a 6 month release.",2016-10-31,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,02/22/2019,18:08:20
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3125D19002,16605,,"FY19 NWSTG (Dissemination IT Infrastructure)","NWS Telecommunications Gateway (NWSTG) Re-architecture providing enhancements to critical NWSTG applications on IDP and infrastructure refresh.",2018-10-01,2019-09-30,3.755,"3 - Not Primarily a Software Development Project",yes,,2017-03-31,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,03/27/2019,19:15:35
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3125M19003,16606,,"FY19 IDP - Dissemination Infrastructure and Virtualized Application Services (O&M)","Maintain IDP Infrastructure and Virtualized Application Services (100% backup for hosted applications - including NextGen, DIS/NCO Labor, IDP-Boulder Rent, H/W maintenance, S/W maintenance, operational contractor support).",2018-10-01,2019-09-30,19.255121,"3 - Not Primarily a Software Development Project",n/a,"Incremental releases are verified as needed through standard maintenance.",2018-01-26,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,02/22/2019,18:08:20
006-000312900,1668,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","NOAA/NWS/ Dissemination",3125M19004,16607,,"FY19 Terrestrial and Satellite Network Services (O&M)","Maintain DIS Networks (Legacy OPSNet, DIS/NCO Labor, Misc Comms, VSAT, GRB Antenna Maintenance/Harris ECP3).",2018-10-01,2019-09-30,6.781648,"3 - Not Primarily a Software Development Project",n/a,"Incremental releases are verified as needed through standard maintenance.  Ongoing OneNWS Network Upgrades. Contracts are updated/verified as needed.",2018-01-26,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,02/22/2019,18:08:20
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	354179",13651,"	354179","FDA ORA IMPORTS Import Trade Auxiliary Communications System (ITACS)","Import Tracking Auxiliary Communications (ITACS) provides the import trade community with three functions: the ability to check on the status of an entry, the ability to submit entry documentation electronically, and the ability to submit good availability information for targeted shipments electronically. Benefits to trade include the ability to receive more detailed entry statuses than what is currently transmitted to filers, reducing the need for phone calls inquiring about the status of entries.",2015-10-01,2016-09-30,1.34,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-10-01,,,,,23,6.3,Green,0.236,19.17,Yellow,Completed,10/27/2016,20:35:09
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	354223",13652,"	354223","FDA ORA IMPORTS Predictive Risk-based Evaluation for Dynamic Import Compliance Targeting (PREDICT)","Complete the development, testing and implementation of additional functionality for the PREDICT Rules Studio.  Enhance PREDICT capabilities used by ICSB as prioritized by the business.  Complete migration to WebLogic 11g platform and possibly other underlying technology upgrades.",2015-10-01,2016-09-30,3.2,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-10-01,,,,,23,6.3,Green,0.495,15.94,Yellow,Completed,10/27/2016,20:35:09
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	354224",13653,"	354224","FDA ORA IMPORTS Operational and Administrative System for Import Support (OASIS)","Evaluate and implement changes, focusing on ACE/ITDS, FDASIA, and Filer requirements.  Assess other Imports processing improvements, including those aligned with the CMU study and ORA organizational changes.  Complete migration to Oracle Forms 11g and possibly other underlying technologies.",2015-10-01,2016-09-30,6.014,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-10-01,,,,,0,0,Green,-0.038,-0.63,Green,Completed,10/27/2016,20:35:09
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	354225",13654,"	354225","FDA ORA IMPORTS Entry Review (ER)","Evaluate and implement changes, focusing on ACE/ITDS, FDASIA, and other ICSB import requirements,  including those aligned with the CMU study and ORA organizational changes.  Complete migration to WebLogic 11g and possibly other underlying technologies.",2015-10-01,2016-09-30,3.167,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-10-01,,,,,0,0,Green,0.415,13.1,Yellow,Completed,10/27/2016,20:35:09
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	354226",13655,"	354226","FDA ORA IMPORTS Prior Notice Manager (PNM)","Matrix Targeting Goal: To produce new and dynamic targeting abilities to calculate and evaluate historical track record metrics, complex logical relationships between entities, and automate external services lookups to aid the risk review process. This will significantly speed up DFDT's time-bound review process by automatically flagging items of concern for further review. GIS Map & Notes Goal: To provide an integrated geospatial map showing firm entity addresses and trade routes, as well as display intelligence imagery and features. This will provide immediate graphical insight for risk review and allows reviewers to store notes of interest for future reviews. O&M Goals: Improvement of - PN Search Refactor to improve search performance to guarantee search results under two minutes; Reports to repair and enhance existing reports, and develop new reports used daily to report DFDT metrics to the Director and above; and Informatica to improve text targeting capabilities by replacing DataFlux for fuzzy matching. Database Encryption/Secure Reports Goals: Protect DFDT data from unauthorized access, and to allow storage/retrieval of integrated intelligence reports for data sharing among PNM staff.",2015-10-01,2018-06-30,10.4,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-08-15,,,,,-286,-28.6,Yellow,-0.333,-4.88,Green,In-progress,09/01/2018,00:03:29
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	383863",14635,"	383863","FDA ORA Imports ACE-ITDS Domestic Integration","Provide operation support to ensure successful execution of ACE submissions. Deliver Imports application enhancements and screening modifications for the new PGA data elements to provide the entry reviewers with additional information to enhance their ability to ensure the safety and quality of imported products. Deliver solution to archive IWS database schema to help manage server load as more filers transition to ACE. Deliver enhancements to deprecate Pro*C code for outbound processing.",2016-09-19,2017-09-18,0.25,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-03-18,,,,,0,0,Green,-0.057,-24.36,Yellow,Completed,12/08/2017,15:01:13
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	393818",14636,"	393818","FDA ORA Imports System for Entry Review & Import Operations (SERIO)","Full lifecycle updates to the OASIS and ER applications for: Support to Priority Data Elements including PG60 and other enhancements under ACE/ITDS; SERIO requirements, design, implementation including ER performance/refactoring; an Oracle DB Upgrade to 12c; and other enhancements prioritized by ICSB. ORA Program Alignment implementation will include completed requirements review, adjudication, and finalization of UI requirements as well as additional OASIS enhancements to better support ORA Program Alignment. OASIS and ER User Interfaces will have complete necessary application development and verification.",2016-09-19,2017-09-30,9.9,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-03-06,,,,,0,0,Green,0.077,0.79,Green,Completed,12/08/2017,15:01:13
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	399543",14637,"	399543","FDA ORA Imports PREDICT Enhancements","Complete the development, testing and implementation of additional functionality for the PREDICT Rules Studio. Ensure that PREDICT and the OPI are successfully risk screening 100% of lines. Complete migration to WebLogic 11g platform and possibly other underlying technology upgrades. Complete full lifecycle updates to the PREDICT application for: ORA Program Alignment implementation; ACE/ITDS support where applicable; enhancements prioritized by ICSB; and Oracle 12c DB Upgrade. Support ICSB in their transition of rule management from OASIS to PREDICT. Update PREDICT as part of the overall ORA Realignment effort impacting most Imports/SIRCE applications. Implement a test bed to allow ICSB to see what impacts they will have on the system before new or updated risk screening rules for Scenario Manager.",2016-09-19,2017-09-18,2,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-03-06,,,,,0,0,Green,0.046,2.39,Green,Completed,12/08/2017,15:01:13
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	399544",14638,"	399544","FDA ORA Imports Import Tracking Auxiliary Communications ARRMS Pilot","Import Tracking Auxiliary Communications (ITACS) provides the import trade community with three functions: the ability to check on the status of an entry, the ability to submit entry documentation electronically, and the ability to submit good availability information for targeted shipments electronically. Benefits to trade include the ability to receive more detailed entry statuses than what is currently transmitted to filers, reducing the need for phone calls inquiring about the status of entries. Full lifecycle updates to the ITACS & ERWS applications for enhancements prioritized by ICSB including ITACS-ARRMS pilot support.",2016-09-19,2017-09-18,0.5,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-03-04,,,,,0,0,Green,0.007,1.57,Green,Completed,12/08/2017,15:01:13
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	410858",16069,"	410858","FDA ORA Imports System for Entry Review & Import Operations (SERIO) II","- Improving the performance and usability of the Entry Review (ER) application by refactoring stored procedures and determining if any existing queries used by application can be further optimized.
- Enhancing and expanding the ER application to incorporate OASIS Investigations Branch (IB) functionality and all the functionality available in OASIS Entry Query.",2017-09-19,2018-09-18,13.5,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-12-15,N/A,N/A,N/A,N/A,-203,-55.77,Red,-0.081,-0.79,Green,In-progress,11/30/2018,21:05:30
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	412147",16248,"	412147","FDA ORA IMPORTS Imports Enhancements","The Imports Enhancements project will include the following: Voluntary Qualified Importer Program (VQIP): -Requirements analysis and implementation of the VQIP application (Amendments, Renewal, and Notifications) -Benefits reinstatement/revocation in the program -Program phase (review and approval of VQIP eligibility after changes from Importer) -Inspection needs (including IQs) Laboratory Accreditation requirements analysis/development of Imports application workflow, and data management for private labs. PREDICT: -Enhance Rules engine -Additional product codes -Enhance the advanced search capabilities -Implement transparent data encryption (TDE) for the databases Enhancing the Imports Processing Business Services ITACS: -Implement TDE for the databases -Enhanced account management synchronization.",2017-09-18,2018-09-17,3.146,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-09-17,N/A,N/A,N/A,N/A,-204,-56.04,Red,0.088,2.8,Green,In-progress,11/30/2018,21:05:30
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	428343",17010,"	428343","FDA ORA Imports CBP IWS","Enhance the CBP IWS interface that integrates with the FDA Imports Operations systems.",2018-09-01,2021-12-31,11,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-08-31,N/A,N/A,N/A,N/A,0,0,Green,0.017,0.38,Green,In-progress,03/28/2019,20:04:32
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	428699",17011,"	428699","FDA ORA Imports Mobile Application for Import Operations","Project Objectives:
-Develop Prototypes for Data Capture at the International Mail Facilities (IMF)
  >Identify potential Commercial Off the Shelf (COTS) products with OCR and language translation (including open source options)
  >Incorporate product capabilities into multiple prototypes options for review
  >Test: Optical Character Recognition (OCR) capabilities and language translation capabilities
  >Assist with the COTS addition to the MAT list
  >Develop prototype business services/APIs
  >Evaluation of the prototypes

-CYOD Device Management and Operation System Support and Testing
  >Deployments, software configuration, guidance and collaboration
  >Support the deployment of the SERIO software on the devices chosen by the FDA
  >Assist the SERIO team in identification of issues regarding configuration, deployment, architecture, integration etc. 
  >Make recommendations after evaluation to help with the selection of printers, labels and configuration 

-IMF Business Process Reengineering
  >IMF business process can be streamlined using modern technology capabilities to increase efficiency and productivity for the FDA.
  >Document a “To-Be” solution
   a. Identify critical points within the process where automation can achieve the efficiency and productivity goals of the FDA.
   b. Evaluate and identify the best solutions where they are available in COTS tools for capabilities such as Optical Character
       Recognition, mobile printer label generation, language translation tools, etc.",2018-09-27,2019-05-18,2.1,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-26,N/A,N/A,N/A,N/A,0,0,Green,-0.646,-30.97,Red,In-progress,03/28/2019,20:04:32
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	428341",17132,"	428341","FDA ORA Imports SERIO III","Objective: Optimization of the Entry Review system, simplifying complexities of the OASIS databases, implementing all IB functionality and delivering a SERIO IMF Pilot
−IMF Online Implementation and Pilot and Phased Production Rollout 
•Build Mail and Baggage functionalities currently residing in the OASIS system to be device agnostic and to support limited offline capabilities (e.g. upload photos)
•Invoke PREDICT and 801a Rescreening (on-line only)
•Complete the development and production deployment for the IB Available Work Grab Bag, IB Personal Work Inbox, Record IB Work Results and Hours
•Support activities related to pilot/production rollout of IMF functionalities
−System Optimization:
•Conduct analysis of the current Entry Review system to optimize the system
•Complete database tuning, cleanup and configuration to optimize performance in the current environment and ORACLE versioning for the OASIS database
•Implement changes as-needed to reduce the complexity of database and application maintenance for the OASIS database
−Logical Data Model: Complete the development of the ORA-wide logical target data model for SERIO 
•Complete the development of the standardized domain data objects to drive adoption of target data architecture to include updating the Conceptual Model, the Domain Information Models and the Data Schemas in support of Data Sharing with FDA’s regulatory partners
•Participate and assist in Data Management related boards to provide technical expertise and assistance to create a more unified data approach and to enforce data standards; 
•Continue to perform in-depth database analysis of identified ORA systems to improve data integrity and system performance
Objective: Optimization of the Entry Review system, simplifying complexities of the OASIS databases, implementing all IB functionality and delivering a SERIO IMF Pilot
−User Roles Management:
•Develop a link between SERIO and OASIS so that user roles in OASIS are reflected in SERIO and access to functionality is governed by those same roles. 
•Examine current user role functionality and define possible new user role access via Active Directory or other mechanism. Read OASIS user roles to control access.",2018-09-17,2019-09-24,13.2,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-16,N/A,N/A,N/A,N/A,0,0,Green,0.37,3.33,Green,In-progress,03/28/2019,20:04:32
009-000353235,1670,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA ORA Imports","	428342",17133,"	428342","FDA ORA Imports Enhancements II","1. Develop and implement enhancements to allow FDA to more efficiently conduct imports work:
OASIS
−Migrate to WebLogic 12c
−Modify Screening/Possible Actions and OASIS 801a screening to add new data elements
−Enhance Filer Evaluation module, as needed and based on business priority
−Implement other IMF enhancements.
ER
−Migrate to WebLogic 12c
−Improve document upload and retrieval time outside of the Washington DC metro area
•Integration with the Document Retrieval Management Service (DRMS).
Objectives: Implement enhancements to allow FDA to more readily and accurately conduct risk screening of imports:
−Migrate to WebLogic 12c
−Provide support for Entry Versioning
−Complete the higher priority enhancements captured in the PREDICT Rule Studio requirements backlog and address any discrepancies associated with the implementation of the enhancements
•Add capabilities to the rule templates to reduce the reliance of ISB on the PREDICT rules team.
−Enhance display of Rule Studio Advanced Search
•Add additional searchable rule criteria to Advanced Search such as Ident Remarks, labels, and country groups
•Improve formatting of search results to uniquely identify disabled screening identifiers and excluded product codes.
2. Objective: Prior Notice applications will continue to modernize with newer technology to align with new workflows
−Migrate to WebLogic 12c
−Resolve Holds
•Allow user to manually release an entry's hold after releasing all the entry's compliance and/or BTA actions
−PN Entry Cancellation & Entry Versioning
•Provide tracking/display of informal PN Entry Cancellation and Entry Versioning support.
−Generate FEIs for PNSI submissions
−Matrix Targeting
•Provide DFDT with new, dynamic targeting abilities to calculate and evaluate historical track record metrics, complex logical relationships between entities, and automate external services lookups to aid the risk review process. Additional rules include:
›FURLS/Track Record targeting
›OFAC/DUNS Targeting
›Supply Chain/Accurint targeting
−GIS Notes
•Enhance initial implementation of GIS Notes to add the following capabilities:
›Search/Print GIS Notes
›Create and store additional GIS layers and toggle views
›Upload GIS Notes from PNM
›Update/Maintain DHS layers to current and latest editions.
−Secure Reports
•Implement Secure Intelligence Reports for storage/retrieval of sensitive targeting data through higher-level encryption.",2018-09-17,2019-09-24,9.5,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-16,N/A,N/A,N/A,N/A,0,0,Green,0.499,6.76,Green,In-progress,03/28/2019,20:04:32
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	354802",13662,"	354802","FDA CTP RCI Case Management System (CCMS)","The objective of this project is to develop and implement an IT system which can be used to manage Tobacco Civil Money Penalty (CMP) and No-Tobacco-Sale Order (NTSO) cases that are brought before an ALJ.  The CCMS Application will be utilizing the Microsoft Dynamics CRM 2013 software.  OCE will be spearheading the development of the system on behalf of the CCMS.  FDA CCMS Application will function as a repository for all documents associated with cases brought by CTP against violating tobacco retailers.   The IT system will also function as a case tracking system for case management to be used by the ALJ to ensure statutorily mandated deadlines are met.  To support its compliance and enforcement activities, CCMS will allow close collaboration with ALJ.  On average, there are 10 or fewer documents for cases that quickly close without a hearing, and those cases are a majority of the cases reviewed by the ALJ.  Cases that require a hearing may have 50 or more documents associated with them.  In FY14, there were over 1000 CMP cases brought by CTP before the ALJ, and this number is expected to grow over time.",2015-05-12,2016-09-30,1.2,"2 - Iterative: Incremental, Spiral, Agile",no,"Project is in development. There is no routine production rollout during this phase.",,,,,,-97,-33.22,Red,0.096,8.02,Green,Completed,07/27/2016,05:32:44
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	354803",13663,"	354803","FDA CTP RCI TIMS Redesign","The TIMS Redesign is an effort to replace Legacy application, which was a pilot project that was implemented into production in 2009 in order to meet a congressionally mandated timeline. Workload on the system has increased substantially and data/user load is expected to grow further, e.g., FDA originally started TIMS with 15 states. FDA now has contracts to perform inspections in 55 states and territories. The increased scope will not only increase the number of users of the system, but also increase the amount of data captured, stored, and analyzed and subsequent report generation. TIMS Redesign is a current project in development to replace TIMS Legacy with a more robust, scalable application. CTP anticipates the TIMS Redesign to be operational during Fiscal Year (FY) 2016. The technologies being used in the redesigned system are included in BPA SOW Attachment 1 - CTP IT Projects Technologies Summary.",2015-01-15,2016-09-30,4,"2 - Iterative: Incremental, Spiral, Agile",no,"Project is in development. There is no routine production rollout during this phase.",2016-10-01,,,,,0,0,Green,-0.196,-4.94,Green,Completed,10/27/2016,20:34:56
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	394479",14575,"	394479","FDA CTP RCI Case Management System (CCMS) 2.0","The objective of this task order is to implement enhancements and provide operations & maintenance support for the CTP Case Management System (CCMS).
The scope of this effort includes project management, transition-in and transition-out activities, architecture support services, system integration with other FDA applications (Tobacco Inspection Management System (TIMS), Case Management System (CMS), FDA SharePoint, Federal Docket Management System (FDMS), Administrative Law Judge (ALJ) System, Departmental Appeals Board (DAB) E-filing System), data migration and management support, and  user training support.",2016-08-02,2017-08-01,1.094,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-02-24,,,,,0,0,Green,-0.023,-2.34,Green,Completed,11/23/2017,06:12:33
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	398423",14659,"	398423","FDA CTP RCI Vape Inspection","The TIMS Redesign is an effort to replace Legacy application, which was a pilot project that was implemented into production in 2009 in order to meet a congressionally mandated timeline. Workload on the system has increased substantially and data/user load is expected to grow further, e.g., FDA originally started TIMS with 15 states. FDA now has contracts to perform inspections in 55 states and territories. The increased scope will not only increase the number of users of the system, but also increase the amount of data captured, stored, and analyzed and subsequent report generation. TIMS Redesign is a current project in development to replace TIMS Legacy with a more robust, scalable application. CTP anticipates the TIMS Redesign to be deployed during Fiscal Year (FY) 2017. One of the subtasks included within the TIMS Redesign effort is the Vape Inspections Application, a new system in support of Inspectons for newly regulated additional tobacco products such as electronic cigarettes and e-liquids.",2016-09-30,2018-09-28,4.131,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-11-06,N/A,N/A,N/A,N/A,0,0,Green,0.042,1.02,Green,Completed,10/30/2018,13:59:06
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	398432",14660,"	398432","FDA CTP RCI TIMS Redesign 2.0","The TIMS Redesign is an effort to replace Legacy application, which was a pilot project that was implemented into production in 2009 in order to meet a congressionally mandated timeline. Workload on the system has increased substantially and data/user load is expected to grow further, e.g., FDA originally started TIMS with 15 states. FDA now has contracts to perform inspections in 55 states and territories. The increased scope will not only increase the number of users of the system, but also increase the amount of data captured, stored, and analyzed and subsequent report generation. TIMS Redesign is a current project in development to replace TIMS Legacy with a more robust, scalable application. CTP anticipates the TIMS Redesign to be deployed during Fiscal Year (FY) 2017. This project includes the following subtasks: TIMS Redesign - Development of newly platformed TIMS; TIMS Minor Inspector Training Application - Development of new minor mobile training application; and TIMS Inspector Mobile Training Application - Development of new Inspector mobile training application.",2016-09-30,2018-09-29,9.069,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-06-27,N/A,N/A,N/A,N/A,0,0,Green,0.087,0.96,Green,Completed,10/30/2018,13:59:06
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	406293",15837,"	406293","FDA CTP RCI CCMS Activity Form and Integration","The objective of this task order is to implement enhancements and provide operations & maintenance support for the CTP Case Management System (CCMS).
The scope of this effort includes project management,  architecture support services, system upgrades, system integration with other FDA applications, data migration and management support, and  user training support.",2017-07-31,2018-08-02,1.534,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-10-03,N/A,N/A,N/A,N/A,-250,-68.12,Red,0,0,Green,In-progress,09/14/2018,19:53:19
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	427407",16918,"	427407","FDA CTP RCI Case Management System (CCMS) 4.0","The objective of this task order is to implement enhancements and provide operations & maintenance support for the CTP Case Management System (CCMS).
The scope of this effort includes project management,  architecture support services, system upgrades, system integration with other FDA applications , data migration and management support, and  user training support.",2018-08-03,2019-08-02,1.341,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-07-30,N/A,N/A,N/A,N/A,-16,-6.87,Green,0,0,Green,In-progress,03/28/2019,20:04:29
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	427595",17005,"	427595","FDA CTP RCI TIMS Inspector Mobile IMTA and Minor Mobile DME Release 2.0.0","The TIMS Redesign, Option Year 1, is an extension of the replacement of the  TIMS Legacy application, which was a pilot project that was implemented into production in 2009 in order to meet a congressionally mandated timeline.  As TIMS Redesign went into production in June, 2017, workload on the system has continued to increased substantially and data/user load is expected to grow further.  The continued increased of scope will not only increase the number of users of the system, but also increase the amount of data captured, stored, and analyzed and subsequent report generation.   The technologies being used in the redesigned system are included in BPA SOW Attachment 1 - CTP IT Projects Technologies Summary.  This Option Year Task Order includes the continued Developoment and Moderinization (DME) of the  TIMS Redesign, TIMS Minor Inspector Training (MIT) Mobile Application , Electornic Minor Narrative Report (eMNR) Mobile Application, TIMS Inspector Mobile Training Application (IMTA), as well as the continued development of   Vape Inspections Appication (VIA) and its associate mobile application.",2018-09-30,2019-09-29,3.048,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-11,N/A,N/A,N/A,N/A,0,0,Green,0.075,4.1,Green,In-progress,02/28/2019,19:37:11
009-000255276,1674,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA CTP Regulatory Compliance and Inspection","	427599",17006,"	427599","FDA CTP RCI VIA DME Release 1.2.0","The TIMS Redesign, Option Year 1, is an extension of the replacement of the  TIMS Legacy application, which was a pilot project that was implemented into production in 2009 in order to meet a congressionally mandated timeline.  As TIMS Redesign went into production in June, 2017, workload on the system has continued to increased substantially and data/user load is expected to grow further.  The continued increased of scope will not only increase the number of users of the system, but also increase the amount of data captured, stored, and analyzed and subsequent report generation.   The technologies being used in the redesigned system are included in BPA SOW Attachment 1 - CTP IT Projects Technologies Summary.  This Option Year Task Order includes the continued Developoment and Moderinization (DME) of the  TIMS Redesign, TIMS Minor Inspector Training (MIT) Mobile Application , Electornic Minor Narrative Report (eMNR) Mobile Application, TIMS Inspector Mobile Training Application (IMTA), as well as the continued development of   Vape Inspections Appication (VIA) and its associate mobile application.",2018-09-30,2019-09-29,2.045,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-10-17,N/A,N/A,N/A,N/A,0,0,Green,0.007,0.61,Green,In-progress,02/28/2019,19:37:11
