"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
007-000006298,1421,"	007","Department of Defense","Logistics Modernization Program Increment 1",9791,OP6298-4103,"Average Response Time.",Seconds,"1 - Customer Satisfaction (Results)",2,,2,"Under target",Monthly,"72541 - Deliver, position, and sustain forces from any point of origin to any point of employment.",155233,OP6298-4103-132,0.72,,Met,,2015-11-30,n,2016-07-07,14:48:21
007-000006298,1421,"	007","Department of Defense","Logistics Modernization Program Increment 1",9793,OP6298-4104,"Disaster Recovery - Meets and/or exceeds Recovery Point Objective (RPO): The amount of time that can lapse between Primary and Secondary data facilities to be in sync with respect to data-transfers and user logon (Government monitored exercise).",Hours,"4 - Innovation",4,,4,"Under target",Annual,"72541 - Deliver, position, and sustain forces from any point of origin to any point of employment.",134753,OP6298-4104-103,1,,Met,"Government monitored exercise performed 4th Qtr of calendar year 2014. (System logon within 1 hour, data accuracy within 100%)",2014-12-31,n,2016-07-07,14:48:21
007-000006298,1421,"	007","Department of Defense","Logistics Modernization Program Increment 1",9795,OP6298-4105,"Number of unique production system defects associated with software changes resulting in a total loss of the execution of a LMP critical business process with no workaround over a twelve month period.",Number,"2 - Strategic and Business Results",6,,6,"Under target",Monthly,"72541 - Deliver, position, and sustain forces from any point of origin to any point of employment.",155241,OP6298-4105-132,0,,Met,,2015-11-30,n,2016-07-07,14:48:21
007-000006298,1421,"	007","Department of Defense","Logistics Modernization Program Increment 1",9797,OP6298-4101,"Percent of transactions with system response time under 2 seconds.",Percentage,"2 - Strategic and Business Results",95,,95,"Over target",Monthly,"72541 - Deliver, position, and sustain forces from any point of origin to any point of employment.",155237,OP6298-4101-132,98.26,,Met,,2015-11-30,n,2016-07-07,14:48:21
007-000006298,1421,"	007","Department of Defense","Logistics Modernization Program Increment 1",22703,OP6298-4106,"Variance of actual AWCF obligations against the approved Army Cost Position (ACP).",percent,"3 - Financial Performance",95,,95,"Over target",Annual,"72541 - Deliver, position, and sustain forces from any point of origin to any point of employment.",134767,OP6298-4106-101,0,,"Not Met",,2015-04-20,n,2016-07-07,14:48:21
007-000006596,1423,"	007","Department of Defense","Infrastructure and Operations Division",9799,OP6596-401,"Actual percentage of planned circuit installations for the month (previously reported quarterly in FY15).",Percentage,"2 - Strategic and Business Results",90,,90,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",168323,OP6596-401-116,30,,"Not Met","DISA had vendor delays at Great Lakes and Scott Air Force Base on 2 of 3 installs in May.",2016-05-31,n,2016-07-07,14:48:26
007-000006596,1423,"	007","Department of Defense","Infrastructure and Operations Division",9801,OP6596-5002,"For Asset Management/Sparing and Repair (AMSR), percentage of high priority customer calls responded to within 45 minutes of receipt (limited to repair and replacement AMSR transactions.) The metric was modified from 20 min to 45 min to respond to high priority calls. There are so few high priority tickets that if one misses this metric, AMSR will not obtain the 93% needed every needed every month. Many of the calls happen after hours, and 45 min is more practical.",Percentage,"2 - Strategic and Business Results",93,,93,"Over target",Quarterly,"72601 - Preserve investments to maintain our decisive technological superiority.",168328,OP6596-5002-110,83,,"Not Met","The target for Q2 was missed because of the migration to Remedy 8.1. When the GSC migrated to the new remedy AMSS lost the ability to receive critical notifications on the blackberry. Issue has been resolved.",2016-03-31,n,2016-07-07,14:48:26
007-000006596,1423,"	007","Department of Defense","Infrastructure and Operations Division",9803,OP6596-5001,"Defense Health Agency Global Service Center (DHA-GSC) formerly the MHS Enterprise-wide Service Desk average customer satisfaction rating on a range of 1-5, where 5 is high, excluding Tier 3.",Number,"1 - Customer Satisfaction (Results)",4,,4,"Over target",Quarterly,"72601 - Preserve investments to maintain our decisive technological superiority.",153179,OP6596-5001-108,4.96,,Met,,2015-09-30,n,2016-07-07,14:48:26
007-000006596,1423,"	007","Department of Defense","Infrastructure and Operations Division",9805,OP6596-5003,"FY14 New initiative ONLY: Percent availability of the DHA network 24x7x365, limited to email and shared drives.",Percentage,"1 - Customer Satisfaction (Results)",0,,,"Over target",Quarterly,,115331,OP6596-5003-104,99.86,,Met,,2014-09-30,y,2016-07-07,14:48:26
007-000006596,1423,"	007","Department of Defense","Infrastructure and Operations Division",9807,OP6596-5004,"FY14 New initiative: Percent availability of WAN connectivity for the San Antonio - Military Health System Enterprise Service Operations Center (SA-MESOC).",Percentage,"2 - Strategic and Business Results",99.7,,99.7,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",168329,OP6596-5004-132,100,,Met,,2016-05-31,n,2016-07-07,14:48:26
007-000006596,1423,"	007","Department of Defense","Infrastructure and Operations Division",22755,OP6596-5005,"Achieve quarterly budget execution of between 90-100% of funds received (Replaces previous annual Dollar increase for the cost of Web Services limited to the DoD inflation rate because of web services have been transferred out of the I&O initiative.).",Percentage,"3 - Financial Performance",90,,90,"Over target",Quarterly,"72601 - Preserve investments to maintain our decisive technological superiority.",168334,OP6596-5005-102,96,,Met,,2016-03-31,n,2016-07-07,14:48:26
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",22433,OP000100114-6000,"Requires Correction 1.",none,"1 - Customer Satisfaction (Results)",0,,65,"Over target",Monthly,"72881 - Improve financial processes, controls, and information via audit readiness.",,,,,,,,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",22435,OP000100114-6001,"Requires Correction 2.",None,"1 - Customer Satisfaction (Results)",0,,95,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",149847,OP000100114-6001-104,96,,Met,"Release 2 UAT report concluded that baseline capabilities were provided",2015-09-01,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",22437,OP000100114-6002,"Requires Correction 3.",none,"1 - Customer Satisfaction (Results)",0,,95,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",149849,OP000100114-6002-104,100,,Met,"Release 2 UAT report concluded that baseline capabilities were provided",2015-09-01,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",22439,OP000100114-6003,"Requires Correction 4.",none,"3 - Financial Performance",0,,100,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",149855,OP000100114-6003-104,100,,Met,,2015-08-23,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",22441,OP000100114-6004,"Requires Correction 5.",none,"2 - Strategic and Business Results",0,,95,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",149858,OP000100114-6004-104,97.04,,Met,"70,396 jobs",2015-08-01,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",24534,OP000100114-6005,"System Usability Survey - During the Joint Interoperability Test Command operational assessment, the team will conduct a survey of Agency user System Availability surveys (SUSs).  The assessments follow each release and are conducted under the oversight of DoD's Director, Operational Test and Evaluation.","System Usability Surveys","1 - Customer Satisfaction (Results)",0,,65,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",,,,,,,,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",24535,OP000100114-6008,"The DAI system must be available to the Defense Agency financial community to perform their work during regularly scheduled workdays.  This measure identifies the percentage of the time that the system was available excluding scheduled downtimes for maintenance.  Without availability, work can continue manually, but then would need to be re-entered.  Duplicate handling would invoke human error and reduces the speed that the information is available for users throughout each Agency.","DAI PMO SE Monthly Performance Report","2 - Strategic and Business Results",0,,95,"Over target",Monthly,"72881 - Improve financial processes, controls, and information via audit readiness.",,,,,,,,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",24536,OP000100114-6009,"The DAI system operates in the Federal/Departmental financial/business end to end business processes and must exchange information that is both accurate and timely.  This measure identifies the percentage of success for information exchanges with external Federal, DoD and commercial systems.  The exchanges include collecting master data from authoritative sources, sending official reports and transactional data as required. Accuracy is tested in development tests for each release and timeliness.","SIT, UAT on each new release & DAIT Test Team","2 - Strategic and Business Results",0,,95,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",,,,,,,,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",24537,OP000100114-6006,"Successful Month End Close - The DAI system must provide for the automated month end close of several Defense Agency/Field Activity general ledgers and submit the month monthly report to Defense Accounting and Financial Service.  This measure supports the FY2015-FY2018 DoD Strategic Management Plan, Version 1.0, Goal 5: Reform and Reshape the Defense Institution, Sub-goal 5.2.  The month end incorporates the automation, system edits and decreases the time required for generating the reports.","Successful Month End Close","3 - Financial Performance",0,,100,"Over target",Annual,"72881 - Improve financial processes, controls, and information via audit readiness.",,,,,,,,n,2016-07-07,14:41:30
007-000100114,1445,"	007","Department of Defense","Defense Agencies Initiative Increment 2",24538,OP000100114-6007,"The DAI must provide secure Internet/ Non-secure Internet Protocol Router Net (NIPRNET) access to the solution.  As an Enterprise Resource Planning (ERP) financial management system, DAI must connect to the Department's end to end business processes/systems and thereby manage large volumes of data transactions.  The batch throughput measures DAI system throughput.  The measure collects the percentage of successful jobs run.  This measure supports the FY2015-FY2018 DoD Strategic Management Plan","DAI PMO SE Monthly Performance Report","2 - Strategic and Business Results",0,,95,"Over target",Monthly,"72881 - Improve financial processes, controls, and information via audit readiness.",,,,,,,,n,2016-07-07,14:41:30
007-000100118,1449,"	007","Department of Defense","DoD Enterprise Email",9767,OP000100118-5000,"Mail Service Availability OA.","unit of measure","2 - Strategic and Business Results",99.9,,99.9,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",72219,OP000100118-5000-101,99.9,Met,Met,,2013-09-30,n,2016-07-07,14:41:31
007-000100118,1449,"	007","Department of Defense","DoD Enterprise Email",9769,OP000100118-5002,"Availability of Mobile Device Services (BES).","unit of measure","1 - Customer Satisfaction (Results)",99,,99,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",,,,,,,,n,2016-07-07,14:41:31
007-000100118,1449,"	007","Department of Defense","DoD Enterprise Email",9771,OP000100118-5004,"ESD Tier 1 (DoD ESD) First Call Resolution.","unit of measure","2 - Strategic and Business Results",0,,0,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",,,,,,,,n,2016-07-07,14:41:31
007-000100118,1449,"	007","Department of Defense","DoD Enterprise Email",9773,OP000100118-5001,"Mail Service Availability OWA.","unit of measure","2 - Strategic and Business Results",99.9,,99.9,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",,,,,,,,n,2016-07-07,14:41:31
007-000100118,1449,"	007","Department of Defense","DoD Enterprise Email",9775,OP000100118-5003,"Average Speed to Answer (under one minute).","unit of measure","3 - Financial Performance",95,,95,"Over target",Monthly,"72601 - Preserve investments to maintain our decisive technological superiority.",,,,,,,,n,2016-07-07,14:41:31
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",21669,"	340097","Average wait time per call: Caller waits < 2 mins for CSR",units,"1 - Customer Satisfaction (Results)",2,,2,"Under target",Monthly,,171681,340097-20160614,0.7,,Met,,2016-06-14,n,2016-08-26,01:06:55
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",21671,"	340098","Average time on hold (while being transferred): < 20 seconds",units,"1 - Customer Satisfaction (Results)",20,,20,"Under target",Monthly,,171682,340098-20160614,0.1,,Met,,2016-06-14,n,2016-08-26,01:06:55
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",21673,"	340099","Number of dropped calls: < 5% of calls dropped prior to CSR",%,"2 - Strategic and Business Results",5,,5,"Under target",Monthly,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",171683,340099-20160614,0.15,,Met,,2016-06-14,n,2016-08-26,01:06:55
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",21675,"	340100","Budget is $9.198M or less (10% over)",units,"3 - Financial Performance",9.198,,9.198,"Under target",Semi-Annual,,171684,340100-20160614,14,,"Not Met",,2016-06-14,n,2016-08-26,01:06:55
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",21677,"	340101","Receive monthly status report on time from IT contractors outlining health of operations including help desk statistics",units,"1 - Customer Satisfaction (Results)",1,,1,"Over target",Monthly,,171685,340101-20160614,1,,Met,,2016-06-14,n,2016-08-26,01:06:55
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",24036,"	351793","Increase the # of physicians registered on Open Payments.",units,"2 - Strategic and Business Results",,,100000,"Over target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",,,,,,,,,2016-08-26,01:06:55
009-000325870,1453,"	009","Department of Health and Human Services","CMS Open Payments",24037,"	351795","Reduce the number of companies making inappropriate payments to physicians.",units,"2 - Strategic and Business Results",,,1444,"Under target",Annual,"687 - Strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management",,,,,,,,,2016-08-26,01:06:55
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",20925,"	340646","Palmetto Front End Response","Hours for System Response Time","1 - Customer Satisfaction (Results)",48,,48,"Under target",Monthly,,141071,340646-20150430,24,,Met,"Response time exceeds expectation.",2015-04-30,y,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",20927,"	340647","Volume of encounter data","Number of encounter files processed monthly","2 - Strategic and Business Results",50,,50,"Under target",Monthly,,141073,340647-20150430,50,,Met,"Volume of Encounter data continues to increase by a 50% a month.",2015-04-30,y,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",20929,"	340648","IDR load rate","Number of encounter files loaded to IDR monthly","2 - Strategic and Business Results",50,,50,"Under target",Monthly,,141075,340648-20150430,50,,Met,,2015-04-30,y,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",20931,"	340971","Contracts do not exceed 10% over budget",Percentage,"3 - Financial Performance",10,,10,"Under target",Semi-Annual,,141077,340971-20150430,10,,Met,,2015-04-30,y,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",20933,"	340972","States receive data in timely fashion",Days,"1 - Customer Satisfaction (Results)",30,,30,"Under target",Monthly,,141079,340972-20150430,30,,Met,,2015-04-30,y,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",20935,"	340982","Direct Response or referral of Inquiry",Days,"1 - Customer Satisfaction (Results)",2,,2,"Over target",Monthly,,149248,340982-20150710,2,,Met,"Response should be completed or referred no later than 2 days. 1.5 is the average for this metric",2015-07-10,y,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",24031,"	350693","Response time",Days,"1 - Customer Satisfaction (Results)",2,,2,"Under target",Monthly,,168975,350693-20160714,0.511,,Met,,2016-07-14,,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",24032,"	350694","Contracts do not exceed 5% over budget",percentage,"3 - Financial Performance",5,,5,"Under target",Semi-Annual,,163957,350694-20160229,-16,,Met,,2016-02-29,,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",24033,"	350695","Approved deliverables finalized within 14 days",Days,"2 - Strategic and Business Results",14,,14,"Under target",Monthly,"673 - Reduce the growth of healthcare costs while promoting high-value, effective care",168976,350695-20160714,14,,Met,,2016-07-14,,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",24034,"	350696","Technical Assistance Provided is complete satisfaction of requestor",percentage,"2 - Strategic and Business Results",80,,80,"Over target",Quarterly,"673 - Reduce the growth of healthcare costs while promoting high-value, effective care",166991,350696-20160623,99,,Met,,2016-06-23,,2016-07-27,05:15:57
009-000327959,1455,"	009","Department of Health and Human Services","CMS Medicare-Medicaid Financial Alignment (MMFA)",24035,"	350697","Effective Change Management",weeks,"2 - Strategic and Business Results",2,,2,"Under target",Monthly,"673 - Reduce the growth of healthcare costs while promoting high-value, effective care",168977,350697-20160714,2,,Met,,2016-07-14,,2016-07-27,05:15:57
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20979,"	332417","Increase the percentage of CDER communication templates on the new business platform",Percent,"2 - Strategic and Business Results",100,,100,"Over target",Monthly,"472 - Improve health care through meaningful use of health information technology.",148683,332417-20150801,100,,Met,,2015-08-01,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20981,"	332419","Reduce the number of systems users must access to retrieve drug quality facts (EES, DPRF, DRLS, SPOTS, eDRLS, UFFDM, eLIST, DQRS, RES)",Number,"1 - Customer Satisfaction (Results)",6,,5,"Under target",Annual,"670 - Improve healthcare quality and patient safety",157842,332419-20151031,5,,Met,,2015-10-31,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20983,"	332420","Increase the number of legacy systems to be retired",Number,"3 - Financial Performance",2,,2,"Over target",Semi-Annual,"678 - Foster and apply innovative solutions to health, public health, and human services challenges",167112,332420-20160430,3,,Met,,2016-04-30,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20985,"	332421","Decrease the percent of duplicative data entry required for generic drug review",Percent,"2 - Strategic and Business Results",0,,0,"Under target",Annual,"472 - Improve health care through meaningful use of health information technology.",138575,332421-20150423,0,,Met,,2015-04-23,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20987,"	332422","Increase the number of key drug safety reports using the drug safety platform",Number,"2 - Strategic and Business Results",10,,10,"Over target",Annual,"678 - Foster and apply innovative solutions to health, public health, and human services challenges",167113,332422-20160429,10,,Met,,2016-04-29,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20989,"	340526","Increase the percentage of original generic drug reviews completed in the regulatory review platform",Percent,"1 - Customer Satisfaction (Results)",100,,100,"Over target",Annual,"678 - Foster and apply innovative solutions to health, public health, and human services challenges",167114,340526-20160501,100,,Met,,2016-05-01,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",20991,"	340723","Increase the percentage of original new drug reviews completed in the regulatory review platform",Percent,"1 - Customer Satisfaction (Results)",50,,0,"Over target",Annual,"472 - Improve health care through meaningful use of health information technology.",,,,,,,,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",23594,"	351319","Increase the number of ANDA (Original and PAS) submission actions in the platform","Percent Increase (6 month rolling average)","2 - Strategic and Business Results",,,1,"Over target",Monthly,"678 - Foster and apply innovative solutions to health, public health, and human services challenges",171772,351319-20160720,300,,Met,,2016-07-20,y,2016-08-26,01:09:10
009-000331763,1457,"	009","Department of Health and Human Services","FDA CDER Regulatory Review Platform",23595,"	351320","Increase the number of ANDA (Original and PAS) 'Approved' actions in the platform",Number,"2 - Strategic and Business Results",,,100,"Over target",Semi-Annual,"678 - Foster and apply innovative solutions to health, public health, and human services challenges",162740,351320-20160401,391,,Met,,2016-04-01,y,2016-08-26,01:09:10
009-000318789,1459,"	009","Department of Health and Human Services","FDA CDER Integrated Data Management",10179,"	332409","Increase the percent visibility of drug product supply chain data",Percent,"1 - Customer Satisfaction (Results)",90,,95,"Over target",Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",157554,332409-20151001,100,,Met,,2015-10-01,,2016-07-27,05:27:03
009-000318789,1459,"	009","Department of Health and Human Services","FDA CDER Integrated Data Management",10181,"	332410","Increase the percent of availability of facility data integrated with product and application",Percent,"2 - Strategic and Business Results",90,,95,"Over target",Semi-Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",165874,332410-20160512,100,,Met,,2016-05-12,,2016-07-27,05:27:03
009-000318789,1459,"	009","Department of Health and Human Services","FDA CDER Integrated Data Management",10183,"	332411","Reduce the percent of manual product lookup through availability of curated product data",Percent,"2 - Strategic and Business Results",25,,15,"Under target",Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",165875,332411-20160512,0,,Met,,2016-05-12,,2016-07-27,05:27:03
009-000318789,1459,"	009","Department of Health and Human Services","FDA CDER Integrated Data Management",10185,"	332412","Increase availability of product master data for all business operations",Percent,"2 - Strategic and Business Results",91,,92,"Over target",Monthly,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",169058,332412-20160708,98,,Met,,2016-07-08,,2016-07-27,05:27:03
009-000318789,1459,"	009","Department of Health and Human Services","FDA CDER Integrated Data Management",21897,"	340522","Increase the availability of application data integrated with product and facility data",Percent,"3 - Financial Performance",75,,80,"Over target",Annual,"689 - Enhance access to and use of data to improve HHS programs and support improvements in the health and well-being of the American people",165877,340522-20160512,100,,Met,,2016-05-12,,2016-07-27,05:27:03
015-999990047,1461,"	015","Department of the Treasury",USAspending.gov,10427,"	200078","Maintain availability of system","Percentage of time","3 - Financial Performance",90,0,90,"Over target",Monthly,"1131 - Improve the efficiency and transparency of federal financial management and government-wide accounting",172112,"	209362",100,,Met,,2016-07-31,n,2016-08-26,20:12:00
015-999990047,1461,"	015","Department of the Treasury",USAspending.gov,10429,"	200079","Trend of usage and effectiveness of the website","Number of site visits","2 - Strategic and Business Results",35000,0,35000,"Over target",Monthly,"1131 - Improve the efficiency and transparency of federal financial management and government-wide accounting",172113,"	209363",47372,,Met,,2016-07-31,n,2016-08-26,20:12:00
015-999990047,1461,"	015","Department of the Treasury",USAspending.gov,10431,"	200080","USAspending.gov mobile users","Percentage of mobile users","2 - Strategic and Business Results",3,0,3,"Over target",Monthly,"1131 - Improve the efficiency and transparency of federal financial management and government-wide accounting",172114,"	209364",12.57,,Met,,2016-07-31,n,2016-08-26,20:12:00
015-999990047,1461,"	015","Department of the Treasury",USAspending.gov,10433,"	200081","Help Desk Response","Number of days","1 - Customer Satisfaction (Results)",3,0,3,"Under target",Monthly,"1131 - Improve the efficiency and transparency of federal financial management and government-wide accounting",172115,"	209365",0.86,,Met,,2016-07-31,n,2016-08-26,20:12:00
015-999990047,1461,"	015","Department of the Treasury",USAspending.gov,10435,"	200082","Help desk resolve","Number of days","2 - Strategic and Business Results",3,0,3,"Under target",Monthly,"1131 - Improve the efficiency and transparency of federal financial management and government-wide accounting",172116,"	209366",0.86,,Met,,2016-07-31,n,2016-08-26,20:12:00
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",20569,,"Percentage of services provided by this investment that have documented Service Level Agreements (SLA)s",Percentage,"1 - Customer Satisfaction (Results)",50,,50,"Over target",Annual,"0 - Not Applicable",151129,,96,,Met,,2015-09-30,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",20571,,"Average percentage of SLA targets  that have been met during the prior FY",Percentage,"1 - Customer Satisfaction (Results)",90,,90,"Over target",Annual,"0 - Not Applicable",151131,,96,,Met,,2015-09-30,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",20573,,"Average availability of the services provided by this investment",Numeric,"1 - Customer Satisfaction (Results)",90,,90,"Over target",Monthly,"0 - Not Applicable",151128,,99.9,,Met,,2015-09-30,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",20575,,"Specific, demonstrable alignment with one or more strategic objectives as outlined in the IT/IM Strategic Plan",Numeric,"2 - Strategic and Business Results",1,,1,"Over target",Annual,"0 - Not Applicable",151130,,1,,Met,,2015-09-30,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",20577,,"Variance of budgeted O&amp;M costs vs actual O&amp;M costs &lt;&#61; 10%",Percent,"3 - Financial Performance",25,,25,"Under target",Quarterly,"0 - Not Applicable",151126,,0,,Met,,2015-09-30,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",23839,,"Availability of the system during normal business hours and within 5% of the SLA stated times.",Numeric,"2 - Strategic and Business Results",0,,98,"Over target",Monthly,"0 - Not Applicable",166252,,99.83,,Met,,2016-04-29,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",23840,,"Variance of budgeted O and M costs vs actual O and M costs",Percent,"3 - Financial Performance",25,,25,"Under target",Quarterly,"0 - Not Applicable",156569,,2,,Met,,2015-12-31,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",23841,,"Equals percentage of Non-Core Data Centers Closed",Percent,"2 - Strategic and Business Results",0,,38,"Over target",Annual,"0 - Not Applicable",,,,,,,,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",23842,,"Equals Core Servers / (Core Servers + NonCore Servers)",Percent,"2 - Strategic and Business Results",0,,50,"Under target",Annual,"0 - Not Applicable",,,,,,,,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",23843,,"Percentage of tickets that are resolved by Tier 1 Help Desk.",Percent,"1 - Customer Satisfaction (Results)",0,,85,"Over target",Monthly,"0 - Not Applicable",166253,,88.44,,Met,,2016-04-29,y,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",25069,,"User satisfaction survey of 1 of every 10 tickets.  Minimum overall score of 4 on a 5 point scale.",Number,"1 - Customer Satisfaction (Results)",,,4,"Over target",Monthly,,171445,,4.75,,Met,,2016-07-29,n,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",25070,,"Closure of agency data centers",Percent,"2 - Strategic and Business Results",,,1,"Over target",Annual,,,,,,,,,n,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",25071,,"Service is available to customers 24 x 7 x 365, exclusive of 8 hour weekend maintenance window.  Amount of Event Management service is available during performance period.",Percent,"2 - Strategic and Business Results",,,97.5,"Over target",Monthly,,171446,,99.98,,Met,,2016-07-29,n,2016-08-25,15:06:50
429-000006500,1465,"	429","Nuclear Regulatory Commission","Data Center and Hosting",25072,,"Average availability of Private Cloud",Numeric,"2 - Strategic and Business Results",,,99,"Over target",Monthly,,171448,,100,,Met,,2016-07-29,n,2016-08-25,15:06:50
