"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
429-000002600,1467,"	429","Nuclear Regulatory Commission","Enterprise-wide Acquisition Services",yes,"Federal Acquisition Regulations (FAR):  New software releases of the COTS platform for STAQS are essential to maintain compliance with FAR and other Federal mandates.",no,,yes,"Strategic Plan:  Fiscal Years 2014-2018 (NUREG-1614, Volume 6) - Additional Management Objectives, Acquisitions:  Acquire best-value goods and services in a timely manner to meet mission needs.NRC Project AIM 2020   Improve the acquisition process to improve quality and process time.",no,,no,,2015-09-17,14:05:47
429-000002500,1469,"	429","Nuclear Regulatory Commission","Financial Services",yes,"Public Law 101-508, Omnibus Budget Reconciliation Act of 1990 (OBRA-90), as amended, and the Independent Offices Appropriation Act of 1952 (IOAA) mandates that the NRC recover a percentage of its costs of operation from the users of its services. One of the functional areas of this investment is License Fee Billing. CFO Act 1990 mandates that agency CFOs are to develop and maintain agency financial management systems that comply with: applicable accounting principles, standards, and requirements; internal control standards; and requirements of OMB, the Dept of the Treasury, and others. Federal Managers Financial Integrity Act.",no,,yes,"Strategic Plan:  Fiscal Years 2014-2018 (NUREG-1614, Volume 6) - Additional Management Objectives. Financial Management:  Improve the efficiency of financial systems and processes and the usefulness of the financial information they produce for management decisionmaking. Financial Stewardship:  Maintain appropriate accountability and controls to ensure effective use of government resources.",no,,yes,"OMB Circular A-136, Financial Reporting Requirements, requires agencies to report costs by major program on the Statement of Net Cost in the annual financial statements. The allocation methodology adopted at NRC for the Statement of Net Cost is consistent with cost principles contained in Statement of Federal Financial Accounting Standards (SFFAS) Number 4, Managerial Cost Accounting Concepts and Standards for the Federal Government.",2015-09-18,12:29:09
429-000003600,1471,"	429","Nuclear Regulatory Commission","Incident Response",yes,"ERDS is Federally Regulated through 10 Code of Federal Regulations (CFR) 50.72.A.4, which states that the licensee must activate ERDS within one hour after the licensee declares an emergency at an emergency class level of &quot;alert&quot; or higher (higher means the declaration of a &quot;site area emergency&quot; or &quot;general emergency&quot;).OCIMS: This activity supports compliance and oversight, in accordance with the Federal Information Security Management Act (FISMA) and the NRC's cyber security program.",no,,yes,"Safety: Ensure adequate protection of public health and safety and the environment.  Security: Ensure adequate protection in the secure use and management of radioactive materials.",yes,"ERDS: National/Federal continuity policy requirements (NSPD-51/HSPD-20, FCD-1) regarding primary and other mission-essential functions. OCIMS: Federal continuity policy requirements (NSPDP-51/HSPD-20, FCD-1, NCSD 3-10/EO 13618) to maintain a variety of COOP/COG communications capabilities, which are specific to NRC's Category 11 status.R1-IRC : the system provides information sharing and communication to support incident response functions during events and exercises.R2-IRC: the system provides information sharing and communication to support incident response functions during events and exercises.",no,,2015-02-03,14:24:03
429-000008200,1473,"	429","Nuclear Regulatory Commission","Materials Licensing and Oversight",yes,"Establishment of this investment is required under the Energy Policy Act of 2005. The National Source Tracking System (NSTS) component specifically addresses the need to provide a web-based, full life cycle tracking of individual sealed sources containing nuclear materials and it directly supports the Nuclear Regulatory Commission (NRC) mission areas of nuclear materials safety and security of radioactive material.",yes,"&quot;Actions Taken by NRC to Strengthen Its Licensing Process for Sealed Radioactive Sources Are Not Effective - http://www.gao.gov/new.items/d071038t.pdf; &quot;NRC and DHS Need to Take Additional Steps to Better Track and Detect Radioactive Materials&quot; - http://www.gao.gov/new.items/d08598.pdf.The Web-Based Licensing (WBL) and License Verification System (LVS) components specifically address issues documented by the Government Accountability Office (GAO) in 2007. These systems along with the source information stored in the National Source Tracking System (NSTS) provide a way for licensees nationwide to confirm the license validity of other licensees seeking to obtain radioactive materials.",yes,"U.S. NRC Strategic Plan Fiscal Years 2008-2013: This investment directly supports NRC's Safety Goal and NRC's Security Goal by ensuring adequate protection in the secure use and management of radioactive materials. (P41-429-002: Prevent instances where licensed radioactive materials are used domestically in a manner hostile to the United States).",no,,yes,"SECY-07-0147 - Response to U.S. Government Accountability Office Recommendations And Other Recommendations To Address Security Issues In The U.S. Nuclear Regulatory Commission Materials Program.",2014-09-09,07:24:44
429-000006700,1475,"	429","Nuclear Regulatory Commission","Office Automation and User Support",no,,no,,yes,"Directly supports the NRC Goal of Organizational excellence.",no,,no,,2014-09-09,07:24:50
024-000005237,1479,"	024","Department of Homeland Security","CBP - Tethered Aerostat Radar System (TARS)",no,,no,,yes,"2014 Quadrennial Homeland Security Review; DHS Information Technology Strategic Plan, FY2014-2018-DHS employs a range of strategies to improve border security, addressing terrorist threats, drug traffickers, and other threats to national security and public safety.  TARS supports the QHSR and the IT Strategic Plan by providing serving as the primary means to detect illegal air entry into the U.S., improving situational awareness and rapid response that help secure our borders.",no,,no,,2015-09-15,11:15:31
024-000005241,1481,"	024","Department of Homeland Security","CBP - TRIRIGA",no,,no,,yes,"This program supports CBP's Vision and Strategy Mission 2: Secure and Manage Our Borders.  TRIRIGA also supports QHSR Goal 2.1: Secure US Air, Land, and Sea Borders and Approaches and CBP Strategic Goal 2: Advance Comprehensive Border Security and Management.",no,,no,,2015-09-15,11:15:36
024-000007006,1483,"	024","Department of Homeland Security","FEMA - Non-Disaster Grants (ND Grants)",yes,"ND Grants advances the President's National Security Strategy, 05/2010 supporting one of four national interests: Security: The security of the United States, its citizens, and U.S. allies and partners specifically the following component: Strengthen Security and Resilience at Home: 1) Enhance Security at Home through shared efforts to prevent and deter attacks; 4) Improve Resilience Through Increased Public-Private Partnerships: It assist DHS/FEMA by: creating an automated, centralized mechanism enabling multiple stakeholders and customers to effectively: communicate; collaborate in partnership; and perform individual roles, and responsibilities throughout the complete grants management lifecycle sharing knowledge, experience and expertise in developing proactive and focused local strategies, capabilities, responses, and acquiring the necessary resources to identify, prepare for, prevent, deter, eliminate and interdict attacks, threats, and actions by hostile actors and organizations.",yes,"GAO Report 13-522 identified the following findings: FEMA's Emergency Management Performance Grants (EMPG) and Assistance to Firefighters Grants (AFG) programs collect performance information through a variety of reporting mechanisms. Neither program has a standardized tool with which to validate the performance data that are self-reported by recipients; the regions are inconsistent in their approaches to verifying program performance data. The absence of a formal established validation/verification procedure, per Circular No. A-11, could lead to the collection of erroneous performance data.  ND Grants provides an established formal performance data and information gathering capability and central repository, as well as providing tracking and reporting of performance against established performance measures and indicators by the individual grantees across all preparedness grants, and provides integrated standardized and ad-hoc reporting linking outcome to grant award performance.",yes,"The ND Grants Project directly supports DHS and FEMA efforts for meeting Mission 5: Ensuring Resilience to Disaster: Goal 5.1: Mitigate Hazards Strengthen capacity at all levels of society to withstand threats and hazards and its associated objectives.  It enhances Federal, State, local, tribal and territorial government efforts to proactively: take steps to ""reduce the impact of damaging events that may occur,"" further enhancing ""the Nation's ability to reduce loss of life and property by lessening the impact of threats and hazards developing an understanding of risks and robust mitigation core capabilities to reduce vulnerabilities."" ND Grants meets these identified DHS Strategic Plan goals and objectives creating an automated, centralized mechanism enabling multiple stakeholders and customers to effectively: communicate; collaborate in partnership; and perform individual roles, and responsibilities throughout the complete grants management lifecycle.",yes,"ND Grants supports HSPD-8 policies strengthening preparedness to prevent, respond to threatened, domestic terrorist attacks, major disasters, and other emergencies establishing national domestic all-hazards preparedness goal, mechanisms for improved delivery of Federal preparedness assistance to State/Local governments, and outlining actions to strengthen preparedness capabilities. HSPD-8, Section Federal Preparedness Assistance, paragraph (8) calls for DHS to ""establish a single point of access to Federal preparedness assistance program information.  ND Grants creates a single automated grants management system (GMS) streamlining/consolidating multiple fragmented, non-integrated and incompatible grants management processes, lifecycles, systems and some 119 DHS-wide programs and provides guidance and training in the preparation, submission of individual grant applications, and execution for grant management functions throughout the full grant management life cycle.",yes,"The Project aligns with FEMA's Administrator's Intent Priorities in the FEMA Strategic Plan: Priory 1: Strengthen the Nation's Resilience to Disaster; Priority 2: Build Unity of Effort Among the Entire Emergency Management Team; Priority 4: Work with Our Partners to Address Our Most Significant Risks and FEMA's Initiative 2: Build the Nation's Capacity to Stabilize and Recover From a Catastrophic Event.  ND Grants creates an automated, centralized mechanism enabling multiple stakeholders and customers to effectively: communicate; collaborate in partnership; and perform individual roles, and responsibilities throughout the complete grants management lifecycle sharing knowledge, experience and expertise in developing proactive and focused local strategies, capabilities, and responses, and acquiring the necessary resources to identify, prevent, deter and interdict attacks, threats, and actions by hostile actors and organizations.",2015-09-15,11:15:05
006-000804400,1485,"	006","Department of Commerce","USPTO Network and Security Infrastructure II (NSI-2)",yes,"America Invents Act of 2011 (AIA)- patent reform legislation that will help American entrepreneurs and businesses bring their inventions to market sooner, creating new businesses and new jobs. It will also help convert the ideas from America s universities and research labs into new products, expanding our economy and creating 21st century jobs.",no,,yes,"The USPTO Strategic Plan for 2010 through 2015 includes an initiative to operate and maintain, and specific initiatives to improve the IT infrastructure systems used to support all USPTO business operations.",yes,"Within the America Invents Act of 2011 (AIA), there is direction for the USPTO to establish regional satellite locations as part of a larger effort to modernize the U.S. patent system over the next three years.",yes,"The protection of intellectual property is mandated by Article 1, section 8 of the US Constitution, and the primary goal of this investment is to operate and maintain the IT infrastructure systems and services that are used to accomplish that mandate.",2014-09-10,08:38:27
006-000804500,1487,"	006","Department of Commerce","USPTO Patent Trial and Appeal Board End to End (PTAB-E2E)",yes,"The protection of intellectual property is mandated by Article 1, section 8 of the US Constitution, and the goal of this investment is to improve the IT systems used to accomplish that mandate.PTAB E2E will allow USPTO to meet its statutory obligations under the Leahy-Smith America Invents Act (AIA).",yes,"In September 2013 the Department of Commerce OIG made two recommendations that will be directly addressed by PTAB E2E: 1. Strengthen project planning and execution between the Office of the Chief Information Officer and the Patent Trial and Review Board (PTAB), and with other USPTO units.Develop a multiyear plan that comprehensively addresses PTAB s IT requirements to support its expanded responsibilities under the AIA.",yes,"Aligns with USPTO Strategic Goal of Optimizing Patent Quality and Timeliness; Objective 7: Maintain the Patent Trial and Appeal Board s (PTAB) Ability to Provide Timely and High Quality Decisions.",no,,no,,2014-09-10,08:39:59
006-000050600,1489,"	006","Department of Commerce","Commerce Enterprise Security Operations Center (ESOC)",no,,no,,yes,"DOC Strategic Objective: Effective management of cyber security threats. Strengthen cyber security through an increased use of security technologies.",yes,"OMB M-14-03: Enhancing the Security of Federal Information and Information Systems.",no,,2014-09-10,09:28:18
009-000281769,1491,"	009","Department of Health and Human Services","CMS Electronic Submission of Medical Documentation",,,,,,,,,,,,
011-000003533,1493,"	011","Department of Justice","DOJ ICAM",no,,no,,yes,"The DOJ FICAM Investment in whole supports the agency Strategic Goal 3: Ensure and Support the Fair, Impartial, Efficient, and Transparent Administration of Justice at the Federal, State, Local, Tribal, and International Levels.",yes,"The DOJ FICAM Investment in whole addresses:1. HSPD-12, Policies for a Common Identification Standard for Federal Employees and Contractors; 2. OMB M-11-11, Continued Implementation of Homeland Security Presidential Directive (HSPD) 12 - Policy for a Common Identification Standard for Federal Employees and Contractors3. OMB M-12-10, Implementing PortfolioStat; 4. OMB M-13-09, Fiscal Year 2013 PortfolioStat Guidance: Strengthening Federal IT Portfolio Management; and5. OMB M-14-08, Fiscal Year 2014 PortfolioStat.It is a step toward the DOJ CIO showing     preference for using shared services as a provider... .   During the PortfolioStat process, the DOJ Portfolio was reviewed. As a result, DOJ consolidated 23 individual identity and access management related  child  investments, into a single   parent  investment, creating a parent-child relationship. Over time, after additional review, the remaining non-consolidated FICAM investments may also become part of the consolidated investment.",yes,"The DOJ FICAM investment in whole addresses a requirement that resulted from the PortfolioStat process. During the PortfolioStat process, the DOJ Portfolio was reviewed and DOJ was asked to increase the number of major investments thereby increasing the amount of budget transparency to the government and the public. As a result, DOJ consolidated 24 individual non-major identity, credential and access management-related investments across DOJ into a single major investment, DOJ FICAM, through parent-child relationships. Over time, after additional review, the remaining non-consolidated identity, credential and access management-related investments may also become part of the consolidated investment.",2014-09-10,12:52:47
011-000003560,1495,"	011","Department of Justice","DOJ Telecom",no,,no,,yes,"The DOJ Telecom Investment in whole supports the agency Strategic Goal 3: Ensure and Support the Fair, Impartial, Efficient, and Transparent Administration of Justice at the Federal, State, Local, Tribal, and International Levels.",yes,"The DOJ Telecom Investment in whole addresses:(1) OMB M-12-10, Implementing PortfolioStat;(2)OMB M-13-09, Fiscal Year 2013 PortfolioStat Guidance: Strengthening Federal IT Portfolio Management; and (3) OMB M-14-08, Fiscal Year 2014 PortfolioStat.",yes,"The DOJ Telecom investment in whole addresses a requirement that resulted from the PortfolioStat process. During the PortfolioStat process, the DOJ Portfolio was reviewed and DOJ was asked to increase the number of major investments thereby increasing the amount of budget transparency to the government and the public. As a result, DOJ consolidated 28 individual non-major telecommunications-related investments across DOJ into a single major investment, DOJ Telecom, through parent-child relationships. Over time, after additional review, the remaining non-consolidated telecommunications-related investments may also become part of the consolidated investment.",2014-09-10,12:52:55
027-999990129,1497,"	027","Office of Personnel Management","USA Staffing System",yes,"USA Staffing supports the delegated examining authority granted under section1104 of Title 5, United States Code.",no,,yes,"Help agencies recruit and hire the most talented and diverse Federal workforce possible to serve the American people.",yes,"President s Hiring Reform Directive dated May 2010. Improve the on-line hiring system to create a world-class experience for job seekers and agency recruiters. Pathways Program for students and recent graduates as required in Executive Order 13562 entitled, &quot;Recruiting and Hiring Students and Recent Graduates,&quot; on December 27, 2010.",no,,2014-09-10,13:13:07
015-000200053,1499,"	015","Department of the Treasury","Web Applications (formerly Online Services (OLS))",no,,yes,"Long-Term Strategy Needed to Improve Interactive Services; GAO-13-435: Published: Apr 16, 2013.  Publicly Released: Apr 16, 2013.

GAO recommended that IRS develop a long-term strategic plan for its web services. While the IRS has already developed a long term strategy on improving web services for taxpayers, we will continue to expand the strategy and make improvements as appropriate. This strategy is a living document that will evolve as priorities and progress are made over time. Based on the GAO recommendations, we will make necessary changes to continue to improve our long term strategy.",yes,"The IRS' implementation of Web Apps will support the strategic goals and objectives of the Dept. of the Treasury as shown below:     
Goal 3: Fairly and effectively reform and modernize federal financial management, accounting, and tax systems 
- Strategic Objective 3.2: Improve the disbursement and collection of federal funds and reduce improper payments made by the U.S. government
- Strategic Objective 3.3: Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code
Goal 5: Create a 21st-century approach to government by improving efficiency, effectiveness, and customer interaction          
- Strategic Objective 5.2: Support effective, data-driven decision-making and encourage transparency through intelligent gathering, analysis, sharing, use, and dissemination of information
- Strategic Objective 5.4 - Create a culture of service through relentless pursuit of customer val",no,,no,"Alignment to Treasury Strategic Plan
Treasury Strategic Plan, Goal 3, Strategic Objective 3.2 - Improve the disbursement and collection of federal funds and reduce improper payments made by the U.S. government; Treasury Strategic Plan, Goal 3, Strategic Objective 3.3 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code; Treasury Strategic Plan, Goal 5, Strategic Objective 5.4 - Create a culture of service through relentless pursuit of customer value.",2016-02-02,19:42:35
014-000000469,1509,"	014","Department of State","INV - Architecture Services",no,,no,,yes,"Goal 1 Mobile Diplomacy: FAN3 POC will provide users with access to cloud-based productivity tools and will implement a prototype mobile device management (MDM) solution to manage mobile device access to FAN3.Goal 2 Digital Diplomacy:  FAN3 POC will permit file sharing and real-time collaboration across the Department and with external partners. Goal 4 Global Infrastructure : The FAN will establish cloud computing that promotes IT mobility and modernized collaboration and outreach, while reducing overall IT security risk by segregating much of its unclassified data from core business systems. Additionally, FAN3 POC will implement a prototype identity management system (IDMS) with Single Sign On (SSO) functionality. Goal 5 IT Leadership & Governance: Architecture Services will enhance the Department's cloud computing initiative, which will institutionalize the operational segments of how business is conducted.",yes,"Federal CIO; February 8, 2011: Federal Cloud Computing Strategy - Federal agencies are required to evaluate safe, secure cloud computing options before making any new IT investments.
Federal CIO; December 9, 2010: 25 Point Implementation Plan to Reform Federal IT Management - All Federal agencies must shift to a ""Cloud First policy.",no,,2015-09-15,17:55:00
014-000000003,1511,"	014","Department of State","INV - Budget System Modernization (BSM)",yes,"This investment will advance objectives defined in the Chief Financial Officer's Act.",no,,no,,no,,yes,"Sections 1 FAM 611 and 1 FAM 621 of the Foreign Affairs Manual address budgetary system requirements and responsibilities that go beyond what is mandated by other federal legislation and regulation.",2015-09-15,17:56:49
011-000002913,1513,"	011","Department of Justice","BOP BOPNet",no,,no,,yes,"The BOP BOPNet Investment in whole supports the agency Strategic Goal 3: Ensure and Support the Fair, Impartial, Efficient, and Transparent Administration of Justice at the Federal, State, Local, Tribal, and International Levels.",no,,no,,2014-09-11,11:33:32
011-000003569,1515,"	011","Department of Justice","DOJ Data Center",yes,"The DOJ Data Center Investment as a whole addresses:1. Cross Agency Priority Goal: Cybersecurity through its data center and mainframe consolidation efforts, which improve Cybersecurity performance.2. Cross Agency Priority Goal: Cybersecurity: FY2013 Q4 Status Update through its compliance and improvements with TIC use and capabilities requirements, as documented in the status update report.3. Federal Information Security Management Act (FISMA) of 2002 through its compliance with FISMA requirements.",no,,yes,"The DOJ Data Center Investment in whole supports DOJ Strategic Goal 3: Ensure and Support the Fair, Impartial, Efficient, and Transparent Administration of Justice at the Federal, State, Local, Tribal, and International Levels.",yes,"The DOJ Data Center Investment in whole addresses OMB M-12-10, Implementing PortfolioStatIt is a step toward the DOJ CIO showing   preference for using shared services as a provider .   During the PortfolioStat process, the DOJ Portfolio was reviewed. As a result, DOJ consolidated 21 individual data center service-related  child  investments, which represent 29% of the known commodity IT, into a single  parent  investment, DOJ Data Center. Over time, after additional review, the remaining non-consolidated data center service-related investments may also become part of the consolidated investment.",yes,"DOJ Policy Statement 0900.01: Data Center Facility Enhancements and Relocation of Information Technology Infrastructure, provides DCTI and the DOJ Data Center Investment with its authority, organizational roles and responsibilities.",2014-09-11,11:34:06
011-000003575,1517,"	011","Department of Justice","DOJ IT Security",yes,"The DOJ IT Security Investment in whole addresses the GPRA Modernization Act of 2010.As stated in the Cross Agency Priority Goal: Cybersecurity: FY2013 Q4 Status Update, under the GPRA Modernization Act of 2010, the agency must improve performance and achieve agency mission and goals. Since Cybersecurity is a Cross Agency Priority Goal, the agency cybersecurity performance must be improved through implementation of the Administration s priority cybersecurity capabilities. The DOJ IT Investment is responsible for implementing such cybersecurity capabilities.",no,,yes,"The DOJ IT Security Investment in whole supports the agency Strategic Goal 3: Ensure and Support the Fair, Impartial, Efficient, and Transparent Administration of Justice at the Federal, State, Local, Tribal, and International Levels.",yes,"The DOJ IT Security Investment in whole addresses OMB M-12-10, Implementing PortfolioStatIt is a step toward the DOJ CIO showing   preference for using shared services as a provider .   During the PortfolioStat process, the DOJ Portfolio was reviewed. As a result, DOJ consolidated 24 individual IT Security-related  child  investments, which represent 65% of the known commodity IT, into a single  parent  investment, DOJ IT Security. Over time, after additional review, the remaining non-consolidated IT security-related investments may also become part of the consolidated investment.",no,,2014-09-11,11:34:17
016-000002239,1519,"	016","Social Security Administration","SMART Claim",no,,no,,yes,"This initiative offers several mission-essential benefits that support, and continue to develop and enhance the Agency Strategic Goals to Deliver Innovative Quality Services and objective &quot;Develop and Increase the Use of Self-Service Options.&quot; This investment will help achieve this goal by enhancing users  option to file online for Medicare, retirement and/or disability, and providing the ability to upload documentation/medical evidence to SSA behind an authenticated benefit application. This authentication capability will also allow the Agency to communicate with customers on the status of their claims or appeals and advise them of any required documents.",yes,"Create SMART benefit app to include two-tiered authentication path, within/outside MySocialSecurity. Both paths allow users to file Medicare, T2 &amp; T16.   In addition, create an online application to initiate, collect beneficiary response, and process the response to the initiated CDR.",no,"As this investment develops, it will benefit from a heightened level of oversight and analysis beginning with regular assessments of strategic alignment and continuing with iterative assessments against establish performance criteria. These evidence-based reviews will guide the continued funding of this investment, and it will ensure that the investment proceeds along a path that will lead to the realization of the anticipated benefits at the expected cost.",2015-09-17,17:03:22
009-000325770,1521,"	009","Department of Health and Human Services","FDA - Desktop and Mobile Device Management",no,,no,,no,,no,,no,,2015-09-17,04:27:20
009-000005322,1523,"	009","Department of Health and Human Services","FDA - IT Governance and Portfolio Oversight",yes,"This investment is in response to the Clinger-Cohen Act (CCA), formerly the Information Technology Management Reform Act of 1996 (ITMRA), a 1996 United States federal law, designed to improve the way the federal government acquires, uses and disposes information technology (IT).",yes,"This investment addresses findings in the GAO 2009 Report to Congressional Requesters ""FDA Needs to Establish Key Plans and Processes for Guiding Systems Modernization Efforts"".",yes,"Through governance domains (to include but not limited to: strategic planning, capital planning, and data management) this investment provides the infrastructure to ensure effective and efficient use of FDA's IT and data.  This investment supports HHS Strategic Objectives: Advance Scientific Knowledge and Innovation and Increase Efficiency, Transparency, and Accountability of HHS Programs.",no,,no,,2016-02-24,21:54:00
202-000004001,1525,"	202","U.S. Army Corps of Engineers","Electronic Document and Records Management System (EDRMS)",no,,no,,yes,"USACE Campaign Plan FY15-19 Objective 4b. Ensure IT Reliability, Availability and Security. The EDRMS initiative will provide more reliable and efficient availability of records across the Corps as well as more security as the data is maintained at the USACE data centers.",yes,"Presidential Memorandum, Managing Government Records, 28 Nov 2011 - requirs government agencies to implement an electronic recordkeeping system by 2018.",no,"No other requirement.",2014-09-11,19:07:38
018-000000121,1527,"	018","Department of Education",EDExpress,no,"Not Applicable.",no,"Not Applicable.",yes,"Strategic Goals A5,B1, B3, C4, D1, E1.",no,"Not Applicable.",no,"Not Applicable.",2014-09-12,01:12:03
027-999991218,1529,"	027","Office of Personnel Management",USAJOBS,yes,"USAJOBS delivers the service by which Federal agencies meet their legal obligation (5 USC 3327 and 5 USC 3330) to provide public notice of Federal employment opportunities in the competitive service to Federal employees and the public.",no,,yes,"Supports Goal 4: Manage information systems efficiently and effectively in support of OPM s mission. Sub-goal 4.04 Implement business initiatives that provide capabilities spanning the HR life cycle, allowing OPM and other federal agencies to achieve their missions by supporting IT service delivery for customer agencies.",no,,yes,"President's Hiring Reform Directive dtd May, 2010. Improve USAJOBS integrating other components of the on-line hiring system to create a world-class experience for job seekers and agency recruiters.",2015-09-15,18:06:44
009-000340290,1531,"	009","Department of Health and Human Services","HHS Financial Business Intelligence System (FBIS) Investment",yes,"As required by the Federal Manager's Financial Integrity Act of 1982 (FMFIA) and the OMB Circular A-123, the Department issued a qualified assurance statement indicating a material weakness (Financial Reporting Systems & Processes) that will be addressed by the Modernization efforts.",yes,"Per the HHS Strategic Plan, FBIS will strengthen program integrity and responsible stewardship by reducing improper payments, fighting fraud, and integrating financial, performance, and risk management.",yes,"Goal 4: Increase Efficiency, Transparency, and Accountability of HHS Programs.",yes,"As required by: OMB M-10-26, project focuses on meeting critical business needs first;  Federal Cloud Computing “Cloud First” (Feb 8, 2011); Federal Data Center Consolidation Initiative (FDCCI) - Draft OMB Memo July 20, 2011; Federal Information Technology Shared Services Strategy “Shared First” Dec 8, 2011.",no,,2016-03-31,12:21:22
018-000000123,1535,"	018","Department of Education","Participation Management (PM)",yes,"The authority under which the system (NSLDS) is maintained includes sections 101, 102, 485, and 485B of the HEA (20 U.S.C. 10001, 1002, 1092, and 1092B). The collection of SSNs of borrowers who are covered by this system is authorized by 31 U.S.C. 7701 and Executive Order 9397 (November 22, 1943), as amended by Executive Order 13478 (November 18, 2008).",no,,no,,no,,no,,2014-09-12,12:32:56
016-000002238,1537,"	016","Social Security Administration","Customer Engagement Tools",no,,no,,yes,"The Customer Engagement Tools initiative directly supports SSA's mission and the Agency Strategic Goal to Deliver Innovative, Quality Services. This initiative also meets the Agency objective to &quot;Develop and Increase the Use of Self-Service Options&quot; by offering the public alternative online service channels and incorporating new web-based features to my Social Security.",yes,"Customer Engagement Tools will build a message center incorporated into MySocialSecurity.  This effort allows the Agency to enhance and secure electronic correspondence as public interest increases in this new service delivery channel.",no,"As this investment develops, it will benefit from a heightened level of oversight and analysis beginning with regular assessments of strategic alignment and continuing with iterative assessments against establish performance criteria. These evidence-based reviews will guide the continued funding of this investment, and it will ensure that the investment proceeds along a path that will lead to the realization of the anticipated benefits at the expected cost.",2015-09-18,15:49:48
016-000002255,1541,"	016","Social Security Administration","Infrastructure  Operations & Maintenance",no,,yes,"GAO Review of Performance of Major Federal Information Technical (IT) Operations and Maintenance (O and M) Investments; GAO Review of Federal IT Dashboard CIO Risk Ratings; GAO Review of the Information Technology (IT) Dashboard Chief Information Officer (CIO) Rating; GAO Review of IT Reform.",yes,"The Infrastructure Operations &amp; Maintenance (I-OM) investment provides hardware maintenance and upgrades, technology refreshment, software maintenance, patches, upgrades, and technical support services needed to sustain Telecommunications (TC), Office Automation (OA), and Data Center (DC) activities. I-OM is a critical component required for SSA to be able to achieve its strategic goals outlined in the Agency Strategic Plan (ASP) FY2014-2018.  Related objectives include: &quot;Maintain System Performance and the Continuity of IT Services&quot; and &quot;Continuously Strengthen Our Cybersecurity Program&quot;.",no,,no,,2016-02-02,21:48:19
016-000002256,1543,"	016","Social Security Administration","Infrastructure - Modernization",no,,yes,"GAO Review of IT Savings ReinvestmentGAO Review of Federal Agencies' Efforts to Rationalize IT Applications.",yes,"Due to technological advances, new internet service channels, and demands for SSA core data from our business partners, SSA must design a new IT Service Model where core IT services are available without interruption and support multiple platforms. This investment supports the Agency s Strategic Goal to Ensure Reliable, Secure, and Efficient Information Technology Services, by meeting objective &quot;Enhance and Execute Plans to Modernize Our System&quot;.",no,,no,,2016-02-04,18:13:55
202-000000066,1545,"	202","U.S. Army Corps of Engineers","IT Infrastructure (II)",yes,"Includes Public Law 109-163, Sec. 221 (IPv6).",no,,yes,"Information Resources Mgt (IRM) Strategic Plan.",no,,yes,"Army Regulation (AR) 25-1,  AR 25-2, AR 25-13, USACE IT Roadmap, &amp; USACE CeA.",2014-09-12,13:42:26
018-000000122,1547,"	018","Department of Education","Data Challenges and Appeals Solution (DCAS)",no,,no,,no,,yes,"To meet  regulatory requirements for challenges for CDR and GE metrics.",no,,2014-09-12,14:50:15
202-000001162,1549,"	202","U.S. Army Corps of Engineers","Rental Facilities Management Information System (RFMIS)",yes,"DOD Directive 5160.58E.",no,,yes,"USACE Campaign Plan.",yes,"Executive Order 13327 (Presidential Direction).",no,"RFMIS Overview.",2014-09-12,15:52:48
184-000000052,1551,"	184","U.S. Agency for International Development","Development Information Solution (DIS)",no,,yes,"Several GAO audit findings indicate a material weakness on the part of the Agency due to the proliferation of stove-piped, duplicative applications that have been created to manage program, financial, and procurement data. Specific audit reports include: GAO-14-65, GAO-14-66, and A-000-13-003-P.",yes,"The DIS is tied to USAID's Information Technology Strategic Plan, Goal 1 - Information on Demand and Goal 2 - Innovation and Process Efficiency.  

A core principle of the DIS is to improve how the Agency manages it data, information, and knowledge. As USAID modernizes and strengthens its operations, it relies to an even greater degree on information for decision-making, performance measurement, and collaboration. The Agency currently employs numerous local, function-specific systems, each of which stores and isolates its own set of data. Although USAID has a few centralized business systems, their information is not integrated. The proposed DIS solution aims to provide a central business solution to improve information management and facilitate decision-making.",yes,"On December 8, 2009, the White House issued an Open Government Directive requiring federal agencies to take immediate, specific steps to achieve key milestones in transparency, participation, and collaboration.  A key part of this directive is to make data more open per the Open Data policy outlined in OMB memo M-13-13.",yes,"On December 2014, the Federal Information Technology Acquisition Reform Act (FITARA) was enacted. OMB guidance to ensure that this law is applied consistently government wide is available as OMB Memorandum M-15-14: Management and Oversight of Federal Information Technology.",2016-02-17,15:57:41
