Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000006517,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000006523,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,408,0.021
009-000006525,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.053
009-000006526,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000006527,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,408,0.05
009-000006528,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,408,0.045
009-000006531,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,604-Meta Data Management,751-Data Management,7-Service Types and Components,200,0.396
009-000006532,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.445
009-000006535,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.3
009-000006578,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,675-Voice Communications,764-Communication,7-Service Types and Components,100,0.0
009-000006596,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,600,0.0
009-000006635,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,0.0
009-000006772,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.24
009-000006773,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,100,2.618
009-000006779,Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,652-Intrusion Prevention,761-Security Management,7-Service Types and Components,170,1.5
009-000006781,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,663-Task Management,762-Collaboration,7-Service Types and Components,0,0.0
009-000006782,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,619-Health and Safety,752-Human Resources,7-Service Types and Components,0,0.389
009-000006784,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000006785,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.095
009-000006787,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.303
009-000006788,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.267
009-000006789,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.104
009-000006796,Major,247-Health Care Administration,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,7.94
009-000006797,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,408,0.0
009-000006798,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,649-Access Control,761-Security Management,7-Service Types and Components,0,0.0
009-000006799,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,0,0.0
009-000006800,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,513-Product Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000006801,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,410,0.0
009-000006803,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,0.768
009-000006804,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,0.138
009-000006806,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000006816,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
009-000006817,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,170,0.0
009-000006818,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
009-000006819,Non Major,095-Continuity of Operations,302-Internal Risk Management and Mitigation,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
009-000006820,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
009-000006822,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000163715,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,581-Document Retirement,734-Records Management,7-Service Types and Components,550,0.0
009-000163785,Major,247-Health Care Administration,110-Health,1-Services for Citizens,535-Change Management,721-Management of Process,7-Service Types and Components,404,10.074
009-000185941,Non Major,106-Workforce Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,535-Change Management,721-Management of Process,7-Service Types and Components,550,0.0
009-000186429,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
009-000201062,Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,31.918
009-000201335,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.334
009-000202435,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,601-Data Exchange,751-Data Management,7-Service Types and Components,0,3.502
009-000203095,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000203155,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000204795,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,519-Surveys,701-Customer Relationship Management,7-Service Types and Components,170,0.0
009-000205796,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,543-Workgroup / Groupware,722-Organizational Management,7-Service Types and Components,0,0.719
009-000211903,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000212456,Non Major,110-Product Outreach,305-Public Affairs,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.003
009-000212457,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000212655,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,0.0
009-000212755,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,220,0.102
009-000212756,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,533-Inbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,0,0.07
009-000212757,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.015
009-000220415,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.158
009-000220475,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,2.297
009-000221657,Non Major,053-Legal Investigation,116-Litigation and Judicial Activities,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.2
009-000222278,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.42
009-000222715,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,594-Simulation,743-Knowledge Discovery,7-Service Types and Components,0,1.211
009-000223475,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.485
009-000223476,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,410,0.644
009-000223477,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,410,0.161
009-000223535,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000223536,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,408,0.328
009-000223537,Non Major,110-Product Outreach,305-Public Affairs,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.67
009-000223935,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000224916,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.117
009-000226455,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,642-Resource Planning and Allocation,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.15
009-000227056,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.0
009-000227136,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,522-Alerts and Notifications,702-Customer Preferences,7-Service Types and Components,0,0.0
009-000230116,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.207
009-000230156,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,0.074
009-000231452,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,513-Product Management,701-Customer Relationship Management,7-Service Types and Components,410,0.078
009-000234421,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,645-Team / Org Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.718
009-000234456,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.249
009-000234476,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.065
009-000235111,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.15
009-000235136,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000236620,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,19.628
009-000236956,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
009-000236976,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,200,0.0
009-000236997,Non Major,217-Access to Care,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,406,11.502
009-000237036,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
009-000237056,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,603-Data Warehouse,751-Data Management,7-Service Types and Components,200,0.0
009-000237300,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,408,0.0
009-000238916,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,220,1.2
009-000244560,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.897
009-000244796,Non Major,120-Help Desk Services,401-Administrative Management,4-Management of Government Resources,510-Call Center Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000245376,Funding Contribution,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.337
009-000246196,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.5
009-000249254,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.496
009-000250136,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,404,0.0
009-000250156,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,404,0.0
009-000250296,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,602-Data Mart,751-Data Management,7-Service Types and Components,404,0.0
009-000250556,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.55
009-000250557,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,500,0.025
009-000250558,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000250559,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,500,0.05
009-000250560,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.26
009-000250561,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.05
009-000252196,Non Major,254-Benefits Management,403-Human Resource Management,4-Management of Government Resources,615-Benefit Management,752-Human Resources,7-Service Types and Components,550,0.0
009-000255276,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,661-Document Library,762-Collaboration,7-Service Types and Components,0,0.0
009-000261388,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,"634-Asset Transfer, Allocation, and Maintenance",754-Asset / Materials Management,7-Service Types and Components,408,0.821
009-000261507,Non Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
009-000261566,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000264533,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,220,0.052
009-000264537,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,517-Partner Relationship Management,701-Customer Relationship Management,7-Service Types and Components,408,0.973
009-000264538,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,408,0.8
009-000264539,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.2
009-000264541,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,408,0.1
009-000266926,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,404,0.0
009-000267063,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,1.25
009-000267280,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,2.0
009-000267283,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,0,0.954
009-000267284,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,410,0.816
009-000267385,Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,410,0.0
009-000267386,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,6.355
009-000267387,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,595-Demand Forecasting / Mgmt,744-Business Intelligence,7-Service Types and Components,410,24.74
009-000267388,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,6.143
009-000267389,Major,217-Access to Care,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,56.897
009-000267390,Major,247-Health Care Administration,110-Health,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,404,0.0
009-000267910,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,5.547
009-000267912,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,15.718
009-000267913,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,19.364
009-000267914,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,26.248
009-000273679,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,565-Document Revisions,732-Document Management,7-Service Types and Components,0,0.533
009-000274913,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000274914,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,406,0.0
009-000274915,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,406,0.3
009-000275896,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,618-Education / Training,752-Human Resources,7-Service Types and Components,550,0.057
009-000275897,Non Major,110-Product Outreach,305-Public Affairs,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.5
009-000276102,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,410,0.11
009-000276109,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,220,12.966
009-000276115,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000276116,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.5
009-000276359,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,5.334
009-000276691,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,663-Task Management,762-Collaboration,7-Service Types and Components,408,0.127
009-000276785,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,2.127
009-000276788,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.05
009-000277719,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.089
009-000277843,Non Major,106-Workforce Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,663-Task Management,762-Collaboration,7-Service Types and Components,550,0.078
009-000277861,Non Major,066-Worker Safety,119-Workforce Management,1-Services for Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,404,0.0
009-000277862,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000279921,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280141,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280142,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280163,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,410,0.5
009-000280182,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280185,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280186,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280187,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000281318,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,200,0.0
009-000281323,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,4.256
009-000281361,Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,18.218
009-000281532,Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,81.298
009-000281561,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.334
009-000281564,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.87
009-000281566,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,404,0.0
009-000281595,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000281603,Major,247-Health Care Administration,110-Health,1-Services for Citizens,640-Instrumentation and Testing,755-Development and Integration,7-Service Types and Components,404,0.0
009-000281608,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000281642,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.87
009-000281644,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,410,0.0
009-000281647,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,533-Inbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,0,0.027
009-000281656,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,200,0.03
009-000281658,Non Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000281769,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000281783,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,25.236
009-000281787,Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000281788,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000282056,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
009-000282058,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,220,0.0
009-000282062,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,220,0.0
009-000282065,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,500,0.0
009-000282081,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,0.0
009-000282141,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
