Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
027-000000047,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
027-000000024,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,645-Team / Org Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000040,Non Major,064-Training and Employment,119-Workforce Management,1-Services for Citizens,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000031,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,645-Team / Org Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000007,Non Major,036-General Retirement and Disability,112-Income Security,1-Services for Citizens,616-Retirement Management,752-Human Resources,7-Service Types and Components,0,0.0
027-000000004,Non Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,615-Benefit Management,752-Human Resources,7-Service Types and Components,0,0.0
027-000000043,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
027-000000052,Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,647-Workforce Acquisition / Optimization,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
027-000000011,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
027-000000009,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
027-999991219,Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.0
027-000000046,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,629-Auditing,753-Financial Management,7-Service Types and Components,0,2.825
027-000000030,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,0.0
027-000000034,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,652-Intrusion Prevention,761-Security Management,7-Service Types and Components,0,0.0
027-000000051,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-999990036,Funding Contribution,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
027-000000014,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,0.0
027-999990005,Funding Contribution,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.105
027-000000055,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
027-000000010,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.14
027-000000044,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,567-Document Review and Approval,732-Document Management,7-Service Types and Components,0,0.0
027-999990021,Funding Contribution,115-Rule Publication,306-Regulatory Development,3-Support Delivery of Services to Citizens,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,0.078789
027-000000027,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,0,0.0
027-999990013,Funding Contribution,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
027-000000059,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.0
027-000000016,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
027-000000042,Non Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
027-000000015,Non Major,254-Benefits Management,403-Human Resource Management,4-Management of Government Resources,615-Benefit Management,752-Human Resources,7-Service Types and Components,0,0.0
027-000000038,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000037,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-999990032,Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,1.416
027-000000049,Non Major,257-Separation Management,403-Human Resource Management,4-Management of Government Resources,616-Retirement Management,752-Human Resources,7-Service Types and Components,0,0.0
027-000000035,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,647-Workforce Acquisition / Optimization,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000020,Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
027-000000058,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,550,0.0
027-999990023,Funding Contribution,122-Travel,401-Administrative Management,4-Management of Government Resources,620-Travel Management,752-Human Resources,7-Service Types and Components,0,0.26
027-000000048,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000001,Non Major,179-Central Personnel Management,315-General Government,3-Support Delivery of Services to Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,0.0
027-000000053,Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
027-000000041,Non Major,064-Training and Employment,119-Workforce Management,1-Services for Citizens,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
027-000000022,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
027-000000029,Major,247-Health Care Administration,110-Health,1-Services for Citizens,511-Customer Analytics,701-Customer Relationship Management,7-Service Types and Components,404,4.814
027-000000054,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
027-000000045,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
027-000000002,Non Major,179-Central Personnel Management,315-General Government,3-Support Delivery of Services to Citizens,602-Data Mart,751-Data Management,7-Service Types and Components,0,0.0
027-999990033,Funding Contribution,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.092
027-000000025,Non Major,036-General Retirement and Disability,112-Income Security,1-Services for Citizens,616-Retirement Management,752-Human Resources,7-Service Types and Components,0,0.0
027-000000019,Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
027-999990006,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
027-000000003,Non Major,179-Central Personnel Management,315-General Government,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
027-000000039,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
027-999990012,Funding Contribution,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,0.03
027-000000018,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.0
028-000001226,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,524-Online Tutorials,703-Customer Initiated Assistance,7-Service Types and Components,550,0.774
028-000001225,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,642-Resource Planning and Allocation,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.405
028-000002003,Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,0,0.13
028-000008007,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.0
028-999990220,Funding Contribution,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,542-Risk Management,721-Management of Process,7-Service Types and Components,550,0.0
028-999990101,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-999991220,Funding Contribution,113-Public Comment Tracking,306-Regulatory Development,3-Support Delivery of Services to Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000001219,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,563-Document Imaging and OCR,732-Document Management,7-Service Types and Components,550,0.0
028-999996060,Funding Contribution,122-Travel,401-Administrative Management,4-Management of Government Resources,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000005001,Major,009-Disaster Repair and Restore,104-Disaster Management,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
028-999994300,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000002002,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
028-999991100,Funding Contribution,124-Accounting,402-Financial Management,4-Management of Government Resources,542-Risk Management,721-Management of Process,7-Service Types and Components,500,0.0
028-999990230,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000007002,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,0.0
028-000000100,Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,2.404
028-000008005,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,546-Portfolio Management,723-Investment Management,7-Service Types and Components,150,0.0
028-000001002,Non Major,127-Collections and Receivables,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,0.0
028-000007007,Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,649-Access Control,761-Security Management,7-Service Types and Components,300,0.375
028-000008001,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,150,0.701
028-000001001,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
028-000006010,Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,600,0.0
028-000007004,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.0
028-999993100,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-999991300,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-999993200,Funding Contribution,125-Funds Control,402-Financial Management,4-Management of Government Resources,542-Risk Management,721-Management of Process,7-Service Types and Components,500,0.0
028-999990160,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000001003,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
028-000007006,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,516-Contact and Profile Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
028-000007005,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.0
028-000004001,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,0,0.0
028-000007003,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,659-Email,762-Collaboration,7-Service Types and Components,0,0.0
028-999990040,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000008006,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,0,0.0
028-000008010,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,612-Career Development and Retention,752-Human Resources,7-Service Types and Components,550,0.0
028-000000001,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,0,0.0
028-000001004,Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,3.78
028-999991218,Funding Contribution,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,542-Risk Management,721-Management of Process,7-Service Types and Components,550,0.0
028-999994100,Funding Contribution,009-Disaster Repair and Restore,104-Disaster Management,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000008009,Non Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,533-Inbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,220,0.0
028-000003005,Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,200,2.92
028-999990020,Funding Contribution,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000002001,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
028-000003003,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,310,0.0
028-000007008,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,15.756
028-000003004,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
028-000008020,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,0.0
029-666666107,Major,126-Payments,402-Financial Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,52.0
029-666666265,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,92.775
029-666666264,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,21.613
029-666666109,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.49
029-666666268,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,674-Computer / Telephony Integration,764-Communication,7-Service Types and Components,100,0.0
029-666666203,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,525-Self-Service,703-Customer Initiated Assistance,7-Service Types and Components,0,12.22
029-777777106,Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,642-Resource Planning and Allocation,756-Human Capital / Workforce Management,7-Service Types and Components,0,25.877
029-777771400,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,200,0.0
029-777777029,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,540-Quality Management,721-Management of Process,7-Service Types and Components,0,1.014
029-777777107,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,536-Configuration Management,721-Management of Process,7-Service Types and Components,0,0.0
029-777777110,Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,656-Certification and Accreditation,761-Security Management,7-Service Types and Components,0,0.0
029-777777014,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
029-777777015,Non Major,261-Cost Accounting / Performance Measurement,402-Financial Management,4-Management of Government Resources,541-Business Rule Management,721-Management of Process,7-Service Types and Components,0,0.0
029-777777210,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,663-Task Management,762-Collaboration,7-Service Types and Components,0,0.0
029-777777109,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,674-Computer / Telephony Integration,764-Communication,7-Service Types and Components,0,2.93
029-555555111,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.451
029-555555194,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,679-Software Distribution,765-Systems Management,7-Service Types and Components,0,1.429
029-555555108,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,65.944
029-555555222,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,637-Legacy Integration,755-Development and Integration,7-Service Types and Components,0,14.691
029-555555242,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,16.48
029-555555184,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,513-Product Management,701-Customer Relationship Management,7-Service Types and Components,0,11.094
029-555555109,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,5.184
029-555555189,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,1.091
029-555555110,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,513-Product Management,701-Customer Relationship Management,7-Service Types and Components,0,14.789
029-555555113,Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,115.415
029-555555114,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,674-Computer / Telephony Integration,764-Communication,7-Service Types and Components,100,16.832
029-888888101,Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,0,17.0
029-888888104,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,3.788
029-888888102,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,31.189
029-888888105,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,510-Call Center Management,701-Customer Relationship Management,7-Service Types and Components,0,115.021
029-888888103,Major,034-Key Asset and Critical Infrastructure Protection,111-Homeland Security,1-Services for Citizens,648-Identification and Authentication,761-Security Management,7-Service Types and Components,0,21.769
029-888888202,Non Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,100,0.0
029-777777211,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,654-Incident Response,761-Security Management,7-Service Types and Components,0,0.0
184-000000017,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.236423
184-000000004,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,623-Expense Management,753-Financial Management,7-Service Types and Components,500,0.0
184-000000021,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,652-Intrusion Prevention,761-Security Management,7-Service Types and Components,170,0.0
184-000000011,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,200,0.0
184-000000012,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,150,0.0
184-000000018,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,652-Intrusion Prevention,761-Security Management,7-Service Types and Components,170,0.0
184-000000008,Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,548-Procurement,724-Supply Chain Management,7-Service Types and Components,600,0.0
184-000000024,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,220,0.0
184-000000028,Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,150,2.022298
184-000000030,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,622-Credit / Charge,753-Financial Management,7-Service Types and Components,500,0.0
184-000000029,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,631-Currency Translation,753-Financial Management,7-Service Types and Components,500,0.0
184-000000005,Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,1.77
184-000000007,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,150,0.0
184-000000025,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,150,0.0
184-000000026,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,620,0.0
184-000000020,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,649-Access Control,761-Security Management,7-Service Types and Components,170,0.0
184-000000006,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
184-000000009,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,623-Expense Management,753-Financial Management,7-Service Types and Components,600,0.0
184-000000014,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,641-Software Development,755-Development and Integration,7-Service Types and Components,150,0.0
184-000000016,Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,100,12.0
184-000000019,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,1.339
202-000001010,Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,0,0.0
202-000001011,Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
202-000001012,Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
202-000001017,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,603-Data Warehouse,751-Data Management,7-Service Types and Components,0,4.0
202-000001020,Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,1.499695
202-000001021,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,674-Computer / Telephony Integration,764-Communication,7-Service Types and Components,0,0.0
202-000001031,Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
202-000001032,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
202-000001033,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,2.0
202-000001040,Non Major,053-Legal Investigation,116-Litigation and Judicial Activities,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
202-000001045,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,518-Customer Feedback,701-Customer Relationship Management,7-Service Types and Components,0,0.0
202-000001051,Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,0,0.0
202-000001053,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,593-Modeling,743-Knowledge Discovery,7-Service Types and Components,0,0.0
202-000001054,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,0,0.0
202-000001055,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
202-000001056,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,591-CAD,742-Visualization,7-Service Types and Components,0,0.0
202-000001060,Major,178-Central Property Management,315-General Government,3-Support Delivery of Services to Citizens,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,0,4.2
202-000001070,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,0,0.0
202-000001162,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.0
202-000001163,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
202-000001016,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,595-Demand Forecasting / Mgmt,744-Business Intelligence,7-Service Types and Components,0,0.0
202-000001160,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
202-000002016,Major,263-System and Network Monitoring,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.925
