"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
007-000100685,1838,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM AND COMMON ACCESS CARD",26928,OP000100685-6107,"DMDC Support Center (DSC) help desk calls attributed to RAPIDS.  75% of calls should be resolved during initial telephone contact.","Number of RAPIDS help desk calls","1 - Customer Satisfaction (Process Results)",0.000000,90.000000,90.000000,"Over target",Annual,"007SO18267 - Lay the foundation for future readiness through recapitalization, innovation, and modernization",,,,,,n,2019-03-14,21:50:42
007-000100685,1838,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM AND COMMON ACCESS CARD",26929,OP000100685-6108,"DMDC Support Center (DSC). RAPIDS 97% of trouble tickets are resolved within the first 48 hours. ","Timeliness & Accuracy ","1 - Customer Satisfaction (Process Results)",0.000000,97.000000,95.000000,"Over target",Annual,"007SO18267 - Lay the foundation for future readiness through recapitalization, innovation, and modernization",,,,,,n,2019-03-14,21:50:42
007-000100685,1838,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM AND COMMON ACCESS CARD",26930,OP000100685-6109,"Using the Customer Operation algorithm to determine workstation utilization, efficiently allocate DoD resources for hardware placement in the field to support identification card production and enrollment for DoD eligibility and benefits.  Target percentage used for majority of centrally funded workstations. ","DoD centrally funded workstation utilization ","2 - Strategic and Business Results",0.000000,55.000000,55.000000,"Over target",Annual,"007SO18267 - Lay the foundation for future readiness through recapitalization, innovation, and modernization",,,,,,n,2019-01-23,19:19:16
007-000100685,1838,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM AND COMMON ACCESS CARD",26931,OP000100685-6110,"Maintain an average annual successful first-attempt ID card issuance rate at worldwide RAPIDS sites to reduce customer service time, increase throughput, and card wastage cost.
2016 Target:    94%	
","Quantity of ID cards issued at RAPIDS workstations","2 - Strategic and Business Results",0.000000,94.000000,94.000000,"Over target",Annual,"007SO18267 - Lay the foundation for future readiness through recapitalization, innovation, and modernization",,,,,,n,2019-01-23,19:19:16
007-000100685,1838,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM AND COMMON ACCESS CARD",26932,OP000100685-6111,"ID Card Office Online allows DoD sponsors to add or update work email, download applets, and activate the PIV Authentication certificate without going to an ID card. facility. Sponsors can also nominate new family members to be added to DEERS for access to benefits and entitlements. On-line activities allow sponsors and family members to reduce required visits to an ID card facility or reduce the customer service time if a visit is required.","RAPIDS and ID Card Office Online transactions ","2 - Strategic and Business Results",0.000000,50000.000000,10000.000000,"Over target",Monthly,"007SO18267 - Lay the foundation for future readiness through recapitalization, innovation, and modernization",,,,,,n,2019-01-23,19:19:16
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26378,"	1709076049","Caseflow Certification — Percentage of cases with mismatched documents.",Percent,"2 - Strategic and Business Results",,20.000000,20.000000,"Under target",Annual,"029APG18038 - Appeals Improvement and Modernization Act Implementation",234456,"	1810225342",5.700000,"Results are well within target.",2018-10-22,n,2018-09-20,18:23:08
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26379,"	1709076050","Caseflow Certification — Percentage of eligible cases certified.",Percent,"1 - Customer Satisfaction (Process Results)",,90.000000,90.000000,"Over target",Monthly,"029APG18038 - Appeals Improvement and Modernization Act Implementation",238999,"	1903140351",94.200000,"Results met for this period are above standards.",2019-03-14,n,2018-09-20,18:23:08
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26380,"	1709076051","Caseflow Dispatch — Percentage of non-denial decisions with an end product (EP).",Percent,"2 - Strategic and Business Results",,95.000000,95.000000,"Over target",Quarterly,"029APG18038 - Appeals Improvement and Modernization Act Implementation",239000,"	1902229367",98.500000,"Results met are above standards.",2019-02-21,n,2018-09-20,18:23:08
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26381,"	1709076052","Caseflow Dispatch — Percentage of non-denial decisions with an end product (EP) created within 7 days.",Percent,"2 - Strategic and Business Results",,85.000000,85.000000,"Over target",Quarterly,"029APG18038 - Appeals Improvement and Modernization Act Implementation",239001,"	1902229368",0.100000,"Results have not met conditions for the quarter.",2019-02-21,n,2018-09-20,18:23:08
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26382,"	1709076053","Caseflow Dispatch — Median time from outcoding to claim establishment.","Number of Days","2 - Strategic and Business Results",,4.000000,4.000000,"Under target",Quarterly,"029APG18038 - Appeals Improvement and Modernization Act Implementation",239002,"	1902229369",23.000000,"Results have not met the target for the quarter.",2019-02-21,n,2018-09-20,18:23:08
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26383,"	1709076054","Caseflow Dispatch — 75th percentile time from outcoding to claim establishment.","Number of Days","2 - Strategic and Business Results",,4.000000,4.000000,"Under target",Quarterly,"029APG18038 - Appeals Improvement and Modernization Act Implementation",239003,"	1902229370",26.000000,"Results have not met the quarterly target.",2019-02-21,n,2018-09-20,18:23:08
029-666666400,1845,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Appeals",26384,"	1709076073","Caseflow Dispatch — Percentage of non-denial decisions with a Caseflow-created end product (EP).",Percent,"2 - Strategic and Business Results",,90.000000,90.000000,"Over target",Monthly,"029APG18038 - Appeals Improvement and Modernization Act Implementation",239005,"	1903140352",89.800000,"Results met for this period are just under standards.",2019-03-14,n,2018-09-20,18:23:08
029-666666401,1846,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Payment",26488,"	1709066007","Percentage of the investment's planned VIP Triad sign-offs for critical decision events successfully achieved within VA’s Veteran-Focused Integration Process (VIP).  This is the investment's number of actual VIP Triad sign-offs for critical decision events divided by the number of planned critical decision event sign-offs in accordance with VA’s Veteran-Focused Integration Process (VIP) for the reporting time period.",Percent,"1 - Customer Satisfaction (Process Results)",,100.000000,100.000000,"Over target",Quarterly,"029APG18091 - Veteran Customer Experience",235770,"	1901046320",100.000000,"This metric is currently being met. Updated by Mark Preuss on 01/04/2018.",2019-01-04,n,2018-09-20,17:56:02
029-666666401,1846,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Payment",26489,"	1709066008","Percentage of the investment's planned customer-facing releases successfully delivered within VA’s Veteran-Focused Integration Process (VIP).  This is the investment's number of actual customer-facing releases divided by the number of planned customer-facing releases in accordance with VA’s Veteran-Focused Integration Process (VIP) for the reporting time period.",Percent,"2 - Strategic and Business Results",,100.000000,100.000000,"Over target",Quarterly,"029APG18091 - Veteran Customer Experience",235771,"	1901046321",100.000000,"This metric is currently being met. Updated by Mark Preuss on 01/04/2018.",2019-01-04,n,2018-09-20,17:56:02
029-666666401,1846,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Payment",26490,"	1709066009","Percentage of the investment's planned acquisition awards successfully executed.  This is the investment's number of actual acquisition packages awarded divided by the number of planned awards for the reporting time period.",Percent,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Quarterly,"029SO18129 - VA IT modernization will quickly deliver effective solutions that will enable VA to provide improved customer service and provide a secure and seamless experience while decreasing its rate of spend.",235772,"	1901046322",99.000000,"This metric is currently being met. Updated by Mark Preuss on 01/04/2018.",2019-01-04,n,2018-09-20,17:56:02
029-666666401,1846,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Payment",26613,"	1709066006","Maintain system availability of VETSNET; Percentage Converted to Actual Time (Based on a Business Requirement of 24x7 Availability), excluding planned maintenance outages.",Percent,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Monthly,"029APG18091 - Veteran Customer Experience",239006,"	1903070027",99.000000,"This metric is currently being met. Updated by Mark Preuss on 03/07/2019.",2019-03-07,n,2018-09-20,17:56:02
029-666666401,1846,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Benefits Payment",26614,"	1709066011","Percentage of the investment's planned FY budget that was executed.",Percent,"3 - Financial Performance",,90.000000,90.000000,"Over target",Quarterly,"029SO18129 - VA IT modernization will quickly deliver effective solutions that will enable VA to provide improved customer service and provide a secure and seamless experience while decreasing its rate of spend.",235773,"	1901046324",90.000000,"This metric is currently being met. Updated by Mark Preuss on 01/04/2018.",2019-01-04,n,2018-09-20,17:56:02
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26484,"	1708315945","System Availability.  Actual system uptime divided by the total scheduled uptime for My HealtheVet (MHV) designated as 24/7 high availability system.",Percentage,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Monthly,"029SO18121 - VA anticipates veterans' changing needs throughout their lives to enhance their choices",231852,"	1810045070",99.000000,"My HealtheVet (MHV) has been designated a high availability system with ""up time"" at 99% or greater (excluding planned downtime for deployments). For September, MHV was at 99%, meeting the goal.",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26485,"	1708315950","Through continuous technical improvements using standardized architectures and shared services, the Health Registries program plans to reduce the Operational and maintenance costs, directly proportional to the number of registries integrated with  Converged Registries Solutions (CRS) in production, via the improved CRS platform from Current Year (CY) through Budget Year (BY).",Number,"3 - Financial Performance",,3360000.000000,3360000.000000,"Over target",Annual,"029SO18129 - VA IT modernization will quickly deliver effective solutions that will enable VA to provide improved customer service and provide a secure and seamless experience while decreasing its rate of spend.",,,,,,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26486,"	1708315954","American Customer Satisfaction Index (ACSI) is industry-recognized/independent tool to measures customer satisfaction. My HealtheVet ACSI to meet or exceed Federal Government Index.",Percentage,"1 - Customer Satisfaction (Process Results)",,75.000000,75.000000,"Over target",Annual,"029SO18126 - VA holds its personnel and external service providers accountable for delivering excellent customer service and experiences while eliminating fraud, waste, and abuse",231859,"	1810045073",78.600000,"American Customer Satisfaction Index (ACSI) is industry-recognized/independent tool to measures customer satisfaction. My HealtheVet ACSI to meet or exceed Federal Government Index. MHV survey result was 78.6%, over target.",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26601,"	1708315946","Measuring the growth (via percentage increase) in My HealtheVet’s (MHV) prescription portal, known as Rx Refill requests, is a key indicator for assessing Veteran usage of MHV. By increasing the availability of MHV and the Rx Refill portal, Veterans are able to request Rx refills from any location using any device, track delivery status, and receive their medications at their designated address. (Count of refill orders received previous month/Count of refill orders received current month).",Percent,"2 - Strategic and Business Results",,4.000000,4.000000,"Over target",Monthly,"029SO18122 - veterans are informed of, understand, and can avail themselves of the benefits, care, and services they choose",239010,"	1903070017",-14.500000,"New Value: Measuring growth in My HealtheVet?s (MHV) prescription portal, known as Rx Refill requests, is a key indicator for assessing Veteran (user) acceptance & usage of MHV. There were 1,570,104 successful RX refill requests for February compared to 1,836,838 for January. The month's rate was a  negative 14.5 percent change from previous month.",2019-02-28,n,2018-10-19,17:33:37
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26602,"	1708315947","Growth of the My HealtheVet (MHV) system total number of registrants.",Number,"1 - Customer Satisfaction (Process Results)",,60000.000000,60000.000000,"Over target",Semi-Annual,"029SO18122 - veterans are informed of, understand, and can avail themselves of the benefits, care, and services they choose",231854,"	1810145211",5.000000,"This metric measures the growth of the My HealtheVet (MHV) system total number of registrants, indicating both use and acceptance of the MHV tool. From January to September 2018, MHV grew from 4.268-million registrants to 4.490-million registrants, a 5% increase, and over our target goal.",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26603,"	1708315948","The Increase in the number of Partners and Community Care Providers for Direct Secure Messaging.",Number,"2 - Strategic and Business Results",454.000000,120.000000,120.000000,"Over target",Annual,"029SO18123 - VA has collaborative, high-performing, and integrated delivery networks that enhance veteran well-being and independence",231855,"	1810165253",735.000000,"Actuals partners added for FY18.",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26604,"	1708315949","Measurement of existing and new patients within the Health Registries currently integrated with the Converged Registries Solutions (CRS) platform reported to reflect the availability of the Registries applications and expected growth with planned improvements in CRS and registry applications throughout the Current Year.",Number,"2 - Strategic and Business Results",,1325000.000000,1325000.000000,"Over target",Annual,"029SO18129 - VA IT modernization will quickly deliver effective solutions that will enable VA to provide improved customer service and provide a secure and seamless experience while decreasing its rate of spend.",231856,"	1810105137",3355680.000000,"The Health Registries based on the Converged Registries Solutions (CRS)  platform recorded an increase of 3,355,680 patient records (existing and new combined). The successful enhancement of five Health Registries and the robustness of the CRS platform are contributing factors to the overall growth of 223.5% in new/existing patient records in FY18. The Health Registries continue to serve as a valuable tool supporting the mission of population health and the improvement of Veteran care.",2018-10-01,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26605,"	1708315930","All MyHealtheVet's (MHV’s) remaining legacy portals will be system re-engineered (SRE) in Calendar Year 2018. Specifically there are four separate portals that still need to be SRE’d: Admin, Secure Messaging (SM) Patient, SM Provider, SM Admin. Each deployment should illustrate MHV either deploy SRE to one (or more) of those portals or progress is made to achieve it by the next deployment.",Number,"4 - Innovation",,4.000000,4.000000,"Over target",Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231850,"	1810045077",4.000000,"All MyHealtheVet's (MHV’s) remaining legacy portals will be system re-engineered (SRE) in Calendar Year 2018. Specifically there are four separate portals that still need to be SRE’d: Admin, Secure Messaging (SM) Patient, SM Provider, SM Admin. Each deployment should illustrate MHV either deploy SRE to one (or more) of those portals or progress is made to achieve it by the next deployment. This work will be finalized in the next deployment.",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26606,"	1708315931","To address legacy problems, new defect and/or enhancements, deliver at least one customer-approved production release monthly. Quantity of releases deployed monthly vs. the goal which is 1.",Number,"1 - Customer Satisfaction (Process Results)",,1.000000,1.000000,"Over target",Monthly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231851,"	1810045069",2.000000,"To address legacy problems, new defect and/or enhancements, My HealtheVet (MHV) delivers at least one (1) customer-approved production releases monthly. In September, MHV released two enhancements: Rel. 18.3.4.3 on Sep. 6 (No Downtime) and Rel.18.3.4.4 on Sep. 7 (No Downtime).",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26607,"	1708315951","The Health Registries Converged Registries Solution (CRS) servers' availability metric confirms the platform availability for each integrated Registry. High server up-time allows health professionals and Veterans greater access and information retrieval/presentation for improved treatment options based upon the condition or disease. This increased level of customer satisfaction provided by the servers' available up time is also reflected by fewer Help Desk calls and trouble tickets.",Percentage,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Quarterly,"029SO18122 - veterans are informed of, understand, and can avail themselves of the benefits, care, and services they choose",231857,"	1810095094",99.980000,"The Health Registries high server up-time provides health professionals and Veterans greater access and information retrieval/presentation for improved treatment options based upon the condition or disease. This high availability also proves the robustness of the application, which resulted in a low number of Help Desk calls and trouble tickets during this quarter.",2018-09-30,y,2018-11-29,20:02:08
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",26608,"	1708315953","MyHealtheVet (MHV) Secure Messaging (SM) allows a Veteran to communicate with their primary care provider.  The metric is:  Increase the usage of MHV Secure messaging.  (CY total MHV secure messages - PY total MHV secure messages)/PY total MHV secure messages = percent annual increase. This may result in one secure message string being counted more than once if multiple replies exist between a Veteran and Provider).",Percentage,"1 - Customer Satisfaction (Process Results)",,6.000000,6.000000,"Over target",Annual,"029SO18123 - VA has collaborative, high-performing, and integrated delivery networks that enhance veteran well-being and independence",231858,"	1810145210",26.000000,"Over 1-million unique My HealtheVet (MHV) registrants logged into MHV, with 26% using secure messaging (SM). There continues to be increases in SM usage, especially as the portal progresses and new functionality is introduced. We tracked usage as an indicator of customer satisfaction and new technology adoption.  Although the reporting frequency was initially on an annual basis, we tracked quarterly to determine whether a closer frequency could return statistically meaningful results (they did).",2018-09-30,n,2018-10-19,17:33:37
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",28037,"	1809284963","Percentage of My HealtheVet (MHV) registrants with Premium accounts.  MHV system functionality and performance supports the growth of veterans who are able to access key portions of their VA electronic health record.  A Premium account gives MHV registrants the highest level of access to MHV features and is necessary to access key portions of their VA electronic health record.  (Count of MHV registrants with premium accounts/Count of total MHV registrants = % of MHV with Premium Accounts).","Percentage ","1 - Customer Satisfaction (Process Results)",1.000000,,65.000000,"Over target",Semi-Annual,"029SO18129 - VA IT modernization will quickly deliver effective solutions that will enable VA to provide improved customer service and provide a secure and seamless experience while decreasing its rate of spend.",231849,"	1810145209",62.000000,"Percentage of My HealtheVet (MHV) registrants with Premium accounts. Premium accounts give MHV registrants the highest level of access to MHV features and is necessary to access key portions of their VA electronic health record.  In September, there was a 62% increase, which shows improvement over the previous reporting period, but still slightly under-target. The program management team continues to be encouraged by the results.",2018-09-30,n,2018-10-19,17:33:37
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",28038,"	1810165254","Direct Messaging allows electronic messages containing health information to be shared between authorized VA staff and trusted community health care providers.  Increase secure electronic messaging as an alternative to faxing, mailing, or delivering by hand veterans’ health information.  (CY total secure messages - PY total secure messages)/PY total secure messages = percent annual increase).",Percentage,"2 - Strategic and Business Results",2.000000,,12.000000,"Over target",Annual,"029SO18123 - VA has collaborative, high-performing, and integrated delivery networks that enhance veteran well-being and independence",,,,,,n,2018-10-19,17:33:37
029-555555301,1847,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Data & Information",28137,"	1810095095","Veterans Integrated Registries Platform (VIRP) functionality & performance supports the growth of patients in registries.  A registry is a cohort based on a disease, condition or exposure.  The growth provides evidence health care providers are employing available tools and expanded data sets to conduct research and improve patient care.  (Sum the annual count of patients in each VIRP registry. This may result in one patient being counted more than once if multiple conditions exist.",Number,"2 - Strategic and Business Results",,,1500000.000000,"Over target",Annual,"029SO18123 - VA has collaborative, high-performing, and integrated delivery networks that enhance veteran well-being and independence",,,,,,n,2018-11-29,20:02:08
029-555555302,1848,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Management Platform",26373,"	1708315936","Number of Veterans receiving Home Telehealth care per reporting period.",Number,"2 - Strategic and Business Results",,82000.000000,82500.000000,"Over target",Monthly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",237336,"	1902128863",74017.000000,"Actual results for January, 2019.",2019-02-01,n,2018-11-30,13:09:19
029-555555302,1848,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Management Platform",26374,"	1708315937","Number of Telereader studies read per fiscal year quarter.",Number,"2 - Strategic and Business Results",,185000.000000,185500.000000,"Over target",Quarterly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",237337,"	1902128862",88306.000000,"Actual results for October through December 2018.",2019-02-01,n,2018-11-30,13:09:19
029-555555302,1848,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Management Platform",26375,"	1709076036","Rate of preventable Adverse Drug Events (ADE) for the reporting period.",percentage,"3 - Financial Performance",,2.500000,2.450000,"Under target",Semi-Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",223759,"	1806053446",2.500000,"Actual results for the period October 2017 through March 2018.",2018-03-31,n,2018-11-30,13:09:19
029-555555302,1848,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Management Platform",26376,"	1709076037","Average laboratory test Turn Around Time (TAT) compiled at deployed sites for critical tests.",minutes,"1 - Customer Satisfaction (Process Results)",,50.000000,49.000000,"Under target",Quarterly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231799,"	1810175279",30.000000,"Actuals results for July - September 2018.",2018-10-16,n,2018-11-30,13:09:19
029-555555302,1848,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Health Management Platform",26377,"	1709076038","Average number of Pharmacy Product System (PPS) product updates per month over the last quarter.",number,"2 - Strategic and Business Results",,850.000000,850.000000,"Over target",Quarterly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231800,"	1810175290",2447.000000,"Actual result for July through September 2018.",2018-10-17,n,2018-09-20,17:58:27
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",26399,"	1709076090","Increase number of enterprise shared services interfaced with the Memorials system.",Number,"2 - Strategic and Business Results",,2.000000,2.000000,"Over target",Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231824,"	1810155234",1.000000,"Successful access to the VA VBMS eFolder was achieved this year.",2018-10-15,y,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",26400,"	1709076092","Increase cumulative number of legacy Memorials system components replaced by modernized system functionality.",Number,"2 - Strategic and Business Results",,2.000000,2.000000,"Over target",Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231825,"	1810155236",0.000000,"No legacy Memorials system components have been replaced in the past year.",2018-10-15,y,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",26401,"	1709076099","Increase percentage of requests that are delivered electronically for ""pre-need"" memorial services.",Percentage,"2 - Strategic and Business Results",,10.000000,10.000000,"Over target",Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231826,"	1810165251",1.000000,"Submission of Pre-Need applications on Vets.gov went live in August of 2018. 442 applications were received between the go live and the end of September (FY18)via Vets.gov. An additional 41,397 applications were received in FY18 via mail and fax.",2018-10-16,y,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",26402,"	1709076100","Increase percentage of ""pre-need"" applications submitted through the Vets.gov portal versus mailed.",Percentage,"1 - Customer Satisfaction (Process Results)",,2.000000,2.000000,"Over target",Quarterly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",231827,"	1810155237",1.000000,"Submission of Pre-Need applications on Vets.gov went live in August of 2018. 442 applications were received between the go live and the end of September (FY18)via Vets.gov. An additional 41,397 applications were received in FY18 via mail and fax.",2018-10-15,y,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",26403,"	1709076101","Maintain system availability of Memorials system production, excluding planned maintenance outages.",Percentage,"2 - Strategic and Business Results",,95.000000,95.000000,"Over target",Monthly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",235234,"	1812145946",99.980000,"Up time for Pre-Need based on continuous reachability monitoring.",2018-12-12,y,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",28238,"	1812206013","Average page load time (in seconds) to improve system efficiency. Calculation: (Sum of all Memorial Benefits Management System (MBMS) page load times/ # of page loads).",Seconds,"2 - Strategic and Business Results",,0.000000,6.000000,"Under target",Monthly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",239011,"	1903190582",18.000000,"Health Check Observations (automated tooling to be implemented at later date). Team conducted 30 manual health checks within the month of February. Within MBMS Salesforce searches of names that yield up to 10 records take an average of 18 seconds to load (Min: 4 seconds, Max 40 seconds).",2019-02-28,n,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",28239,"	1812206017","Average System Usability Scale (SUS) score of all systems in the investment that are currently in the target architecture.","SUS score","1 - Customer Satisfaction (Process Results)",,0.000000,50.000000,"Over target",Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",,,,,,n,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",28240,"	1812206019","Number of identified shared services (per quarter) integrated into Benefits Integrated Platform (BIP) to access authoritative data sources and to reduce system redundancies. Calculation: Sum of all reported shared services integrated into BIP.",Number,"2 - Strategic and Business Results",1.000000,0.000000,2.000000,"Over target",Annual,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",237595,"	1902118844",0.000000,"BIP is not in production yet.",2019-02-11,n,2019-02-27,19:12:52
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",28241,"	1812206023","System availability (percentage) to track improved technology and innovative practices as it relates to performance testing and proactive monitoring. Calculation: 100-[(Down Time/Monitored time)*100].",Percentage,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Monthly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",239012,"	1903190583",99.260000,"Outage Info: Feb 2019 MBMS Cemetery Management Outage: https://mbms.va.gov not accessible due to ssologon.iam.va.gov returning ‘500 Internal Server or ‘This site can’t be reached’ errors. Cause: Disruption of services at one of the Azure (VA Enterprise Cloud – VAEC) Hosted Data Centers, SSOi down causing MBMS outage Reference INC4536827MBMS Salesforce deployed to Production 1/31/19, but user go-live pending training sessions to be scheduled late May/April 2019.",2019-02-28,n,2019-02-27,19:12:52
